HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
12.222452,4055.009,2823.0857,-5.6083803,-19.707668,RMM2018-10-10.0021.fcs
16.450346,-599.59863,3102.006,15.486588,234.99445,RMM2018-10-10.0021.fcs
23.983679,-1888.5588,2922.0718,3.1866775,103.52836,RMM2018-10-10.0021.fcs
27.673475,1015.9721,2438.9412,37.88552,113.182465,RMM2018-10-10.0021.fcs
28.672798,1885.5892,4157.092,30.076492,-3.3168688,RMM2018-10-10.0021.fcs
31.670757,5175.5825,5717.1987,-15.28806,842.21954,RMM2018-10-10.0021.fcs
49.966,993.3016,1729.8344,34.631374,308.5228,RMM2018-10-10.0021.fcs
69.56805,2846.292,1116.6537,62.112698,215.05168,RMM2018-10-10.0021.fcs
80.944916,-1374.7837,6102.5728,49.05921,538.13495,RMM2018-10-10.0021.fcs
84.557846,3201.2905,3882.364,-8.912872,329.68433,RMM2018-10-10.0021.fcs
104.69798,2555.2861,3820.734,32.2084,0.50046134,RMM2018-10-10.0021.fcs
108.69527,4325.021,2095.9211,-17.7297,590.9457,RMM2018-10-10.0021.fcs
114.53744,-1034.5934,3846.5261,-35.425926,176.28793,RMM2018-10-10.0021.fcs
119.30344,988.73096,1425.3768,30.085312,143.1438,RMM2018-10-10.0021.fcs
120.45649,988.82416,5240.225,27.187548,259.63852,RMM2018-10-10.0021.fcs
132.90956,-7.127531,5334.512,-17.343895,302.80118,RMM2018-10-10.0021.fcs
142.8259,567.8493,1953.8014,20.294119,69.924164,RMM2018-10-10.0021.fcs
175.18848,-1170.6912,2258.1846,32.441853,57.548393,RMM2018-10-10.0021.fcs
206.62863,1948.7964,2414.583,43.129116,354.55063,RMM2018-10-10.0021.fcs
209.8572,639.0776,2468.9768,13.890711,339.4588,RMM2018-10-10.0021.fcs
222.23338,1563.9939,1341.6672,56.505558,529.63385,RMM2018-10-10.0021.fcs
226.46129,1048.628,2653.3186,-21.051289,-8.781443,RMM2018-10-10.0021.fcs
247.06264,-3365.8042,4385.2705,6.9235735,-40.30136,RMM2018-10-10.0021.fcs
260.0538,-221.22754,3762.4526,46.919666,11.433636,RMM2018-10-10.0021.fcs
275.96606,-1839.3577,1295.4484,41.72979,4.0309,RMM2018-10-10.0021.fcs
279.34836,2276.6702,3434.488,-14.758013,41.444237,RMM2018-10-10.0021.fcs
289.2647,4122.939,5543.171,7.4878182,594.9274,RMM2018-10-10.0021.fcs
306.79123,688.6657,1791.5038,43.616882,83.746864,RMM2018-10-10.0021.fcs
316.0926,692.848,3618.4639,-14.90108,87.975075,RMM2018-10-10.0021.fcs
317.32254,2836.9653,4597.8037,61.791626,201.90704,RMM2018-10-10.0021.fcs
320.24362,1296.8792,984.5972,53.393444,355.05603,RMM2018-10-10.0021.fcs
330.46744,1162.4756,5122.325,19.125784,420.11536,RMM2018-10-10.0021.fcs
334.5416,3002.6409,7072.1343,-5.4591618,493.55246,RMM2018-10-10.0021.fcs
346.68716,3175.9392,3038.7786,74.65368,152.94374,RMM2018-10-10.0021.fcs
349.07016,3797.9856,8911.344,18.231924,851.0933,RMM2018-10-10.0021.fcs
358.29465,1117.613,4099.318,32.715263,267.55515,RMM2018-10-10.0021.fcs
360.75452,1683.0306,5645.994,69.47682,446.31577,RMM2018-10-10.0021.fcs
361.36948,865.5782,5909.008,60.0505,295.66473,RMM2018-10-10.0021.fcs
374.28378,963.3842,4784.321,16.27987,483.44257,RMM2018-10-10.0021.fcs
378.05045,4566.792,8093.9385,35.412613,719.273,RMM2018-10-10.0021.fcs
378.896,1370.6482,5906.737,53.128162,155.52856,RMM2018-10-10.0021.fcs
389.35043,770.04144,3845.8862,18.446774,85.09702,RMM2018-10-10.0021.fcs
393.04025,-1337.5199,1960.8774,72.447136,201.50008,RMM2018-10-10.0021.fcs
408.95248,5339.111,4003.784,35.678616,607.40497,RMM2018-10-10.0021.fcs
420.02188,1001.318,4009.1074,21.466047,-1.4028089,RMM2018-10-10.0021.fcs
425.86407,-1473.7648,4798.091,80.43377,100.75074,RMM2018-10-10.0021.fcs
457.2273,-1355.9043,2180.115,34.46749,477.02805,RMM2018-10-10.0021.fcs
462.22394,-424.18274,6741.996,25.63377,783.66016,RMM2018-10-10.0021.fcs
463.0695,-45.264023,4332.3364,21.681349,237.868,RMM2018-10-10.0021.fcs
465.60626,1535.3062,3360.8977,42.578053,31.016285,RMM2018-10-10.0021.fcs
476.90622,1021.43463,6222.449,8.346211,421.49283,RMM2018-10-10.0021.fcs
478.213,950.2005,3755.704,42.774723,41.87272,RMM2018-10-10.0021.fcs
479.51987,5910.379,10117.855,13.875397,561.2025,RMM2018-10-10.0021.fcs
482.5178,5838.657,3464.341,20.863659,584.9991,RMM2018-10-10.0021.fcs
491.5886,-625.3846,1485.0177,15.8405,7.58408,RMM2018-10-10.0021.fcs
501.81238,777.12256,1589.8341,18.248758,-0.30244017,RMM2018-10-10.0021.fcs
512.728,1501.5885,3049.7078,7.799505,-111.21229,RMM2018-10-10.0021.fcs
517.8015,249.53194,1565.0239,62.155502,217.45097,RMM2018-10-10.0021.fcs
519.72327,5584.7544,1002.72406,18.047043,64.22253,RMM2018-10-10.0021.fcs
526.48785,1713.4884,4935.09,52.344193,1529.0175,RMM2018-10-10.0021.fcs
544.01447,-43.13678,4137.436,52.411644,73.060974,RMM2018-10-10.0021.fcs
547.08923,3347.9946,1873.8951,98.1521,304.01486,RMM2018-10-10.0021.fcs
548.47296,452.3256,3600.5725,81.02665,519.26556,RMM2018-10-10.0021.fcs
563.2321,1547.4482,1394.7849,59.956524,-16.987171,RMM2018-10-10.0021.fcs
570.45795,3114.2617,1314.1117,74.238075,84.790115,RMM2018-10-10.0021.fcs
572.5335,1775.9109,2790.2537,74.546745,21.078672,RMM2018-10-10.0021.fcs
577.2995,-802.1714,4906.1553,24.096344,131.91829,RMM2018-10-10.0021.fcs
