HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
200.00107,1619.4214,4725.302,13.522661,58.834545,RMM2018-10-10.0025.fcs,1
363.11716,805.2605,5213.0747,-25.595425,-25.473078,RMM2018-10-10.0025.fcs,1
372.5668,631.6068,2164.6177,33.694340000000004,-85.03108,RMM2018-10-10.0025.fcs,1
821.4025,1693.6044,2741.0579,9.827789,20.463417,RMM2018-10-10.0025.fcs,1
997.35406,903.1909,3208.4065,37.66265,-59.844395,RMM2018-10-10.0025.fcs,1
1316.9043,2217.7249,4976.4316,43.129115999999996,7.8484,RMM2018-10-10.0025.fcs,1
1630.4175,2261.0544,2252.3108,41.22101,-3.8367176,RMM2018-10-10.0025.fcs,1
1680.6663,2196.3518,3457.5486,26.750286,56.572903000000004,RMM2018-10-10.0025.fcs,1
2311.4817,2329.7986,3076.2598,40.92049,72.3589,RMM2018-10-10.0025.fcs,1
2370.9473,301.84396,5288.0474,75.09902,17.154612,RMM2018-10-10.0025.fcs,1
3476.6274,1928.3896,2165.3123,38.181988,114.73418400000001,RMM2018-10-10.0025.fcs,1
3642.4036,2624.5586,2967.434,31.592607,-8.636664,RMM2018-10-10.0025.fcs,1
3662.7004,573.55884,2005.5226,39.221621999999996,-14.861723999999999,RMM2018-10-10.0025.fcs,1
3815.0229999999997,2473.8928,3814.5579,42.791725,-32.99562,RMM2018-10-10.0025.fcs,1
4182.3679999999995,766.5551,2906.8379999999997,63.721194999999994,155.46376,RMM2018-10-10.0025.fcs,1
4230.664000000001,1472.0973,4429.3364,60.4879,24.147099,RMM2018-10-10.0025.fcs,1
4273.9536,1984.4656,2163.1228,10.171488,1.2053412000000001,RMM2018-10-10.0025.fcs,1
4551.173,2732.118,2319.2542,35.06199,35.607132,RMM2018-10-10.0025.fcs,1
4565.083,108.53992,2107.5579,54.644690000000004,86.62159,RMM2018-10-10.0025.fcs,1
5069.855,1769.3787,3015.4368,-32.258865,61.482856999999996,RMM2018-10-10.0025.fcs,1
5516.3535,2653.2947,1943.1176,6.421329,3.6394822999999996,RMM2018-10-10.0025.fcs,1
5567.3726,1433.0807,2195.7432,-29.916014,29.302809999999997,RMM2018-10-10.0025.fcs,1
6290.463000000001,2703.0806,3888.7517,4.981289,-77.8759,RMM2018-10-10.0025.fcs,1
6474.5109999999995,2119.3179,2144.4429999999998,63.473564,10.212081,RMM2018-10-10.0025.fcs,1
6601.6562,820.75006,4374.741,18.71121,88.00039,RMM2018-10-10.0025.fcs,1
7297.1504,606.8528,2425.5195,33.06655,99.95586999999999,RMM2018-10-10.0025.fcs,1
7324.3887,1283.0387,2934.583,19.208054999999998,-2.3637080000000004,RMM2018-10-10.0025.fcs,1
7361.891,779.6031,4839.6320000000005,42.879337,-28.158657,RMM2018-10-10.0025.fcs,1
7361.936,934.5454,5287.7974,28.409264,-57.03825,RMM2018-10-10.0025.fcs,1
7361.9897,1960.9744,4881.1265,68.66489,-74.41655,RMM2018-10-10.0025.fcs,1
7480.1514,616.48914,2730.5862,22.912070999999997,-2.8586576,RMM2018-10-10.0025.fcs,1
7515.5312,958.25415,2832.7524,28.885973,56.624065,RMM2018-10-10.0025.fcs,1
7632.840999999999,2334.0583,2161.525,-0.037369132,-32.089348,RMM2018-10-10.0025.fcs,1
7773.295999999999,1095.0531,3222.525,13.481515,-7.468611,RMM2018-10-10.0025.fcs,1
7805.908,527.6599,1964.5910000000001,18.117828,9.838585,RMM2018-10-10.0025.fcs,1
7872.9697,2253.212,4315.3423,42.262184000000005,-3.4764277999999997,RMM2018-10-10.0025.fcs,1
9106.476,1454.7094,3286.3577,-4.935215,98.118416,RMM2018-10-10.0025.fcs,1
9110.532,617.0349,3123.9863,11.240496,29.861113,RMM2018-10-10.0025.fcs,1
9275.44,1792.3525,2413.8884,4.3617415,90.22587,RMM2018-10-10.0025.fcs,1
9487.972,610.2571,2349.6777,1.415945,6.8110137,RMM2018-10-10.0025.fcs,1
9490.578000000001,2811.2566,2532.8118,-36.945004,0.21833539,RMM2018-10-10.0025.fcs,1
9782.434000000001,602.1228,2443.0374,38.179043,43.58019,RMM2018-10-10.0025.fcs,1
10132.008,1305.1945,3173.722,3.5217720999999997,-25.76341,RMM2018-10-10.0025.fcs,1
10437.442,1470.4135,2723.2974,44.97715,16.62869,RMM2018-10-10.0025.fcs,1
10476.735999999999,1461.0165,2128.9675,15.051004999999998,-57.98992,RMM2018-10-10.0025.fcs,1
10538.091999999999,256.89328,5337.1724,-5.0932856,27.506721000000002,RMM2018-10-10.0025.fcs,1
10680.75,931.7534,3366.8516,-14.119038,-52.36094,RMM2018-10-10.0025.fcs,1
11740.848,60.5346,3289.3794,48.66407,-19.495653,RMM2018-10-10.0025.fcs,1
11894.81,427.23535,3822.0225,28.740009999999998,25.935833,RMM2018-10-10.0025.fcs,1
12025.053999999998,340.14066,1955.5725,65.42918,85.67784,RMM2018-10-10.0025.fcs,1
12137.751,1139.865,2912.0337,43.167152,50.96792,RMM2018-10-10.0025.fcs,1
12459.791000000001,1665.6825,3789.9783,-14.879321,24.456024,RMM2018-10-10.0025.fcs,1
12679.337,435.71612999999996,2848.0007,14.043454,25.794714000000003,RMM2018-10-10.0025.fcs,1
13013.559,205.03996,4772.429,62.836056000000006,56.373577000000004,RMM2018-10-10.0025.fcs,1
13081.587,20.163109,3562.145,23.94155,43.708332,RMM2018-10-10.0025.fcs,1
13150.053999999998,2707.809,4885.8257,22.422573,35.350258000000004,RMM2018-10-10.0025.fcs,1
13459.921999999999,565.1902,3082.337,14.680601000000001,55.59973000000001,RMM2018-10-10.0025.fcs,1
