HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
8.088788000000001,1247.6580000000001,4596.889,22.502610999999998,0.9070591999999998,RMM2018-10-10.0058.fcs,1
36.008156,1793.7095,5908.7744,58.500248,6215.1416,RMM2018-10-10.0058.fcs,1
41.552890000000005,3093.495,4256.3640000000005,33.43766,9151.829,RMM2018-10-10.0058.fcs,1
64.64506999999999,2878.9512,8885.184000000001,58.553509999999996,86765.36,RMM2018-10-10.0058.fcs,1
81.279274,1650.9434,4062.9807,5.803527,20463.053,RMM2018-10-10.0058.fcs,1
92.49920999999999,2094.43,5813.5024,65.692566,-57.381282999999996,RMM2018-10-10.0058.fcs,1
129.6163,2629.3357,7243.16,40.127635999999995,1433.9135,RMM2018-10-10.0058.fcs,1
137.37894,3218.7966,8851.792,18.3041,27658.057,RMM2018-10-10.0058.fcs,1
229.94337000000002,1424.3157,8211.934000000001,79.63037,12656.426000000001,RMM2018-10-10.0058.fcs,1
293.02286000000004,2213.978,4846.9526,43.75783,-48.744648,RMM2018-10-10.0058.fcs,1
300.65502999999995,3626.2146,8425.643,60.041477,1915.503,RMM2018-10-10.0058.fcs,1
301.5683,1051.9177,7968.0723,47.702971999999995,10221.628,RMM2018-10-10.0058.fcs,1
302.15536000000003,1672.7922,7602.630999999999,56.070907999999996,4763.4272,RMM2018-10-10.0058.fcs,1
318.98526,1841.9205,7464.838000000001,25.429482,-7.634659,RMM2018-10-10.0058.fcs,1
358.12457,2985.4559999999997,6974.8867,47.7016,-43.275566,RMM2018-10-10.0058.fcs,1
368.75742,1761.6711,4208.291,33.404396000000006,-31.215858,RMM2018-10-10.0058.fcs,1
385.3916,2656.4927,4947.6646,30.233990000000002,-112.15352,RMM2018-10-10.0058.fcs,1
474.95538,1337.1129,3926.6035,58.033840000000005,1030.7087,RMM2018-10-10.0058.fcs,1
503.20092999999997,2489.2607,6245.717,66.74181,62811.655999999995,RMM2018-10-10.0058.fcs,1
533.2077,2708.575,4026.8452,26.891174,592.4135,RMM2018-10-10.0058.fcs,1
556.1042,2358.8335,5311.1895,51.959045,33082.51,RMM2018-10-10.0058.fcs,1
