HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
39.443573,1449.8689,7075.0127,25.391327,41.660717,RMM2018-10-10.0052.fcs,1
157.00465,1764.4542,5085.1733,27.946207,52.726677,RMM2018-10-10.0052.fcs,1
170.85801999999998,753.46027,4047.8186,19.961267000000003,81.73206,RMM2018-10-10.0052.fcs,1
180.57458,714.10724,3895.8245,18.3041,62.433069999999994,RMM2018-10-10.0052.fcs,1
246.47421,1061.6521,6219.7085,46.84321,60.81856,RMM2018-10-10.0052.fcs,1
274.18093999999996,349.53876,6820.439,70.26004,83.31645,RMM2018-10-10.0052.fcs,1
316.3182,1642.7383,4412.8584,37.6177,24.650875,RMM2018-10-10.0052.fcs,1
333.05765,834.6967,5107.133,48.43183,6.3862442999999995,RMM2018-10-10.0052.fcs,1
398.09146,1237.5342,4523.491,57.288605000000004,42.965126,RMM2018-10-10.0052.fcs,1
415.40814,523.37585,7720.9243,19.497595,28.967765999999997,RMM2018-10-10.0052.fcs,1
416.4664,511.62408,6577.165,28.359924,50.890232,RMM2018-10-10.0052.fcs,1
419.73734,1039.7231,3602.7124,21.462698,37.569138,RMM2018-10-10.0052.fcs,1
431.76282000000003,1876.2623,4198.534000000001,50.107883,16.564156,RMM2018-10-10.0052.fcs,1
442.3452,1403.2,6025.7246,35.910496,-4.390521,RMM2018-10-10.0052.fcs,1
467.45444000000003,475.11307,4368.5470000000005,38.661770000000004,39.859665,RMM2018-10-10.0052.fcs,1
504.3005,670.8913,4059.0562,68.167046,79.12693,RMM2018-10-10.0052.fcs,1
514.4019,1955.1517,3726.0347,38.630817,13.5756,RMM2018-10-10.0052.fcs,1
518.0577,1941.7656,6905.7026,57.680153000000004,67.93033,RMM2018-10-10.0052.fcs,1
526.42737,442.01735999999994,5013.303,25.108854,-34.016502,RMM2018-10-10.0052.fcs,1
527.67804,844.97064,6075.8853,-5.7708488,58.8408,RMM2018-10-10.0052.fcs,1
533.8351,2717.4905,5312.3125,20.480963,13.249267999999999,RMM2018-10-10.0052.fcs,1
583.9572,2171.2478,5655.7646,26.06658,179.81136999999998,RMM2018-10-10.0052.fcs,1
585.1117,1376.9379999999999,4877.144,29.930511,-15.804001000000001,RMM2018-10-10.0052.fcs,1
613.78046,1555.537,6295.1494,71.21746,105.80101,RMM2018-10-10.0052.fcs,1
622.9198,1558.7361,5482.521,89.54298399999999,2.7102098,RMM2018-10-10.0052.fcs,1
660.6317,1434.5005,4902.2944,46.322936999999996,32.617783,RMM2018-10-10.0052.fcs,1
689.58905,2205.6875,4122.245,49.34778,1132.6405,RMM2018-10-10.0052.fcs,1
709.4071,862.8595,3828.3572,61.999466000000005,51.743120000000005,RMM2018-10-10.0052.fcs,1
714.40967,493.1397,3705.0933,37.081579999999995,114.89374,RMM2018-10-10.0052.fcs,1
797.4336,2541.5208,4241.2075,38.3106,87.62725,RMM2018-10-10.0052.fcs,1
812.73,1584.6617,7412.584,74.772766,-10.05741,RMM2018-10-10.0052.fcs,1
824.6592400000001,303.66208,6033.7609999999995,36.900771999999996,99.87093,RMM2018-10-10.0052.fcs,1
828.41125,3025.0999,3520.7078,-1.8050218,16.184347,RMM2018-10-10.0052.fcs,1
888.3462,2205.5808,4876.9756,56.474495,36.741467,RMM2018-10-10.0052.fcs,1
903.9313,1161.827,4620.7095,45.283768,109.92371999999999,RMM2018-10-10.0052.fcs,1
935.5823,1543.0338,3941.2256,19.973817999999998,17.701473,RMM2018-10-10.0052.fcs,1
1032.0747,2110.3743,4344.8896,60.900619999999996,23.715792,RMM2018-10-10.0052.fcs,1
1068.4398,2353.6052,6110.53,46.951440000000005,40.50443,RMM2018-10-10.0052.fcs,1
1076.2323,1927.0471,4207.0186,61.47173299999999,39.005745000000005,RMM2018-10-10.0052.fcs,1
1105.3821,770.2327,3612.1184,91.60506,26.18926,RMM2018-10-10.0052.fcs,1
1106.2479,2426.302,5284.049,41.527725,-8.3125305,RMM2018-10-10.0052.fcs,1
1133.6660000000002,2441.2585,7074.3735,27.777828000000003,53.666959999999996,RMM2018-10-10.0052.fcs,1
1158.4866,1930.9185,5660.257,25.272701,36.256405,RMM2018-10-10.0052.fcs,1
1175.0337,1657.0215,6183.5483,56.55016,61.371784,RMM2018-10-10.0052.fcs,1
1204.2795,384.94336,5043.735,39.95733,103.40655,RMM2018-10-10.0052.fcs,1
1211.2063,1200.0009,5135.0093,61.270203,89.98283,RMM2018-10-10.0052.fcs,1
1217.748,2538.5327,3680.2986,43.41772,77.30496,RMM2018-10-10.0052.fcs,1
1219.7684,316.36447000000004,4280.6724,48.821415,71.48621,RMM2018-10-10.0052.fcs,1
1221.5962,1013.0613,4375.9673,16.199203,35.348495,RMM2018-10-10.0052.fcs,1
1258.5386,1454.4260000000002,4113.549,48.2563,21.830362,RMM2018-10-10.0052.fcs,1
1338.8688,2126.9678,5193.0747,15.204476000000001,-5.018241400000001,RMM2018-10-10.0052.fcs,1
1344.1599,632.08246,4716.2603,47.408043,96.69878,RMM2018-10-10.0052.fcs,1
1349.1626,1246.4878,4376.831,19.16261,19.790823,RMM2018-10-10.0052.fcs,1
1408.0393,769.6189999999999,5242.6567,-4.38124,120.117424,RMM2018-10-10.0052.fcs,1
1461.8173,638.70135,7690.383000000001,36.84661,82.36485,RMM2018-10-10.0052.fcs,1
1470.0908,634.92645,3876.3481,69.010994,19.489613000000002,RMM2018-10-10.0052.fcs,1
1504.4355,396.97977000000003,5484.3887,91.899445,5.5896487,RMM2018-10-10.0052.fcs,1
1556.9628,2525.3098,4378.5044,58.03366,68.6021,RMM2018-10-10.0052.fcs,1
1614.9738,1957.7336,7139.116,38.64812,65.756805,RMM2018-10-10.0052.fcs,1
1636.6196,768.25964,3583.0170000000003,77.06681999999999,55.648543999999994,RMM2018-10-10.0052.fcs,1
1655.1870000000001,317.31273999999996,6694.499,54.271446,101.16055,RMM2018-10-10.0052.fcs,1
1683.6633,1003.2856400000001,4231.6997,44.03988,35.372368,RMM2018-10-10.0052.fcs,1
1700.3065,897.9004,4922.005999999999,43.117670000000004,8.520961999999999,RMM2018-10-10.0052.fcs,1
1750.6212,1686.5161,7125.1753,31.896778,-0.010257959,RMM2018-10-10.0052.fcs,1
1854.425,2321.4636,5753.1177,-3.6845013999999994,105.31583400000001,RMM2018-10-10.0052.fcs,1
1863.8529999999998,1390.59,4166.3657,44.719803000000006,192.65941,RMM2018-10-10.0052.fcs,1
1946.2036,1161.7507,4354.512,44.095397999999996,-27.022365999999998,RMM2018-10-10.0052.fcs,1
1956.4012,1835.5952,5273.6216,27.914879,-61.79149,RMM2018-10-10.0052.fcs,1
2027.6882,1106.6093,3657.737,44.231617,-76.38475,RMM2018-10-10.0052.fcs,1
2035.096,1101.1761,4760.895,71.28948000000001,14.225349,RMM2018-10-10.0052.fcs,1
2056.2607,1278.8601,4651.536,40.986084000000005,-30.370803999999996,RMM2018-10-10.0052.fcs,1
2170.551,1913.7717,3547.742,31.529594,-28.265106,RMM2018-10-10.0052.fcs,1
2196.3335,1022.68854,5419.806,21.824078,16.480215,RMM2018-10-10.0052.fcs,1
2218.1716,1837.4722,5975.8765,38.166595,-6.4995937,RMM2018-10-10.0052.fcs,1
2262.3293,670.28864,5299.601,63.52763,-23.110306,RMM2018-10-10.0052.fcs,1
2296.5781,2001.9023,5049.8240000000005,35.922077,-25.447851,RMM2018-10-10.0052.fcs,1
2336.8875,670.07935,4090.0105,63.963640000000005,-11.234591499999999,RMM2018-10-10.0052.fcs,1
2361.6116,2261.95,4251.8413,8.272348,46.09957,RMM2018-10-10.0052.fcs,1
2383.3538,2514.0117,4650.133,50.596375,-58.280480000000004,RMM2018-10-10.0052.fcs,1
2473.8816,1683.0,4684.6953,26.253548,202.20743000000002,RMM2018-10-10.0052.fcs,1
2484.8489,1498.5359,7671.603,1.1368517,16.886286,RMM2018-10-10.0052.fcs,1
2520.444,2484.7869,4144.3105,30.562991999999998,43.52864,RMM2018-10-10.0052.fcs,1
2533.8164,2202.4766,6739.643,18.26287,-1.0357326999999998,RMM2018-10-10.0052.fcs,1
2549.594,2290.1445,6359.3047,33.818794,1.6589952000000001,RMM2018-10-10.0052.fcs,1
2561.0422,3001.8590000000004,3976.813,31.948017,-23.185568,RMM2018-10-10.0052.fcs,1
2567.8728,1938.1427,4501.311,35.723007,51.182434,RMM2018-10-10.0052.fcs,1
2630.0203,1620.0813,5087.5977,32.667235999999995,97.44708,RMM2018-10-10.0052.fcs,1
2636.1775,1224.3275,3458.2993,12.819251,23.876417,RMM2018-10-10.0052.fcs,1
2672.5425,1338.2426,4260.48,-2.9174914,-1.3106381999999999,RMM2018-10-10.0052.fcs,1
2678.4109999999996,2129.5037,6503.6646,9.088346000000001,133.7705,RMM2018-10-10.0052.fcs,1
2742.579,1461.6334,4359.5547,14.004814000000001,67.00583,RMM2018-10-10.0052.fcs,1
2751.8145,592.55255,3996.565,18.832672,27.692753000000003,RMM2018-10-10.0052.fcs,1
2763.6477,1865.9353,4171.0470000000005,60.706963,84.36901999999999,RMM2018-10-10.0052.fcs,1
2770.478,2863.3242,3747.34,33.46737,49.634857000000004,RMM2018-10-10.0052.fcs,1
2797.9922,421.82065,4063.2634,25.607388,15.757851,RMM2018-10-10.0052.fcs,1
2801.0708,1387.7294,6409.571,31.589376,54.118995999999996,RMM2018-10-10.0052.fcs,1
2812.4229,1103.3914,4729.1777,14.352764,-6.9046563999999995,RMM2018-10-10.0052.fcs,1
2831.375,886.27234,6150.3706,25.365804999999998,49.969666,RMM2018-10-10.0052.fcs,1
2852.8286,1115.1932,4513.1025,24.452871,101.16839,RMM2018-10-10.0052.fcs,1
2854.945,1494.5042,4790.5835,75.39775999999999,35.1449,RMM2018-10-10.0052.fcs,1
2857.4463,853.9231599999999,5434.803000000001,33.01813,28.162853000000002,RMM2018-10-10.0052.fcs,1
2864.7576,576.1099,7719.9194,3.8062142999999997,653.32825,RMM2018-10-10.0052.fcs,1
2900.738,425.84435999999994,7254.484,28.832453000000005,14.622831,RMM2018-10-10.0052.fcs,1
2904.8748,1456.4496,6788.1885,31.39873,-5.6537857,RMM2018-10-10.0052.fcs,1
2968.2732,577.70013,4215.4395,41.385670000000005,134.68893,RMM2018-10-10.0052.fcs,1
2998.5774,2767.6018,4638.179,14.387466,-20.032682,RMM2018-10-10.0052.fcs,1
3013.6814,1000.5485,5159.7217,22.489798,53.86708,RMM2018-10-10.0052.fcs,1
3023.0132,578.4685,5591.3296,11.864467999999999,-13.453204000000001,RMM2018-10-10.0052.fcs,1
3027.4385,855.6355,3784.9204,35.468094,122.41810600000001,RMM2018-10-10.0052.fcs,1
3037.8284,2580.5698,5023.722,21.603956,18.959426999999998,RMM2018-10-10.0052.fcs,1
3062.5527,1058.2346,6266.0024,33.250984,-28.574276,RMM2018-10-10.0052.fcs,1
3073.039,437.21988,3766.532,1.8083058999999997,45.762375,RMM2018-10-10.0052.fcs,1
3078.619,1106.5833,6761.6553,35.762974,99.348206,RMM2018-10-10.0052.fcs,1
3137.9768,2952.4563,4749.2866,2.9509025,45.74178,RMM2018-10-10.0052.fcs,1
3139.8044,333.3129,4742.447,72.57403599999999,96.00582,RMM2018-10-10.0052.fcs,1
3177.7087,1146.2383,4226.6016,29.262888,-46.38924,RMM2018-10-10.0052.fcs,1
3181.7495,1048.3436,4217.001,94.560875,40.712097,RMM2018-10-10.0052.fcs,1
3194.4482,1770.9279,5712.5176,28.169771,80.78891999999999,RMM2018-10-10.0052.fcs,1
3195.6028,1188.7614,5282.2217,1.9760121,132.68741,RMM2018-10-10.0052.fcs,1
3300.8496,3127.7668,4429.1055,34.884365,75.44756,RMM2018-10-10.0052.fcs,1
3333.9440000000004,1267.8105,5610.047,54.98070500000001,-24.552695999999997,RMM2018-10-10.0052.fcs,1
3359.5342,2416.3594,6232.76,51.411865,28.072909999999997,RMM2018-10-10.0052.fcs,1
3373.676,1263.4044,4804.958,13.679173,134.22098,RMM2018-10-10.0052.fcs,1
3377.7166,859.11816,5951.6406,7.575334,47.8232,RMM2018-10-10.0052.fcs,1
3409.6562,1674.3578,4721.5070000000005,-16.283286999999998,140.16298,RMM2018-10-10.0052.fcs,1
3425.7224,887.4703,7264.2466,21.184137,65.23983,RMM2018-10-10.0052.fcs,1
3432.5527,894.7096,5214.0034,14.4646845,22.228104000000002,RMM2018-10-10.0052.fcs,1
3523.2729999999997,2165.215,6317.811,35.90972,88.866585,RMM2018-10-10.0052.fcs,1
3592.155,2855.8098,4632.441,34.145720000000004,-69.660545,RMM2018-10-10.0052.fcs,1
3606.0083,1020.3113,5339.4169999999995,56.230540000000005,67.21454,RMM2018-10-10.0052.fcs,1
3644.7786,2381.6028,7331.6377,45.711227,58.72735600000001,RMM2018-10-10.0052.fcs,1
3668.2524,1246.8694,5374.7686,37.463684,126.24163999999999,RMM2018-10-10.0052.fcs,1
3674.1206,1693.2443,6194.1630000000005,37.541737,44.055004,RMM2018-10-10.0052.fcs,1
3675.1787,2023.0726,4438.4326,7.0313563,58.368607,RMM2018-10-10.0052.fcs,1
3679.2195,974.8642,5712.618,12.737152,129.41072,RMM2018-10-10.0052.fcs,1
3716.0657,2819.7670000000003,5072.542,65.71793000000001,104.76326,RMM2018-10-10.0052.fcs,1
3729.6304,1418.2323,3645.5874,47.43052,43.181459999999994,RMM2018-10-10.0052.fcs,1
3768.7854,630.4973,5127.8394,51.86,82.88878000000001,RMM2018-10-10.0052.fcs,1
3805.6313,1836.4525,3756.7909999999997,21.02373,32.861748,RMM2018-10-10.0052.fcs,1
3884.3259999999996,1629.6433,6534.677,5.702259,56.597088,RMM2018-10-10.0052.fcs,1
3942.1445,2170.6897,4195.5273,49.539284,125.0861,RMM2018-10-10.0052.fcs,1
3950.803,1009.5028699999999,3483.008,-10.472054,19.394126999999997,RMM2018-10-10.0052.fcs,1
3977.5476,457.0565,7225.9775,-11.446005,-23.679126999999998,RMM2018-10-10.0052.fcs,1
4103.767,810.9544,6725.4326,20.002842,-47.807243,RMM2018-10-10.0052.fcs,1
4154.755,2258.0928,5518.104,-10.8638,62.19735,RMM2018-10-10.0052.fcs,1
4290.787,2282.0571,5164.0312,49.409496000000004,-18.901365,RMM2018-10-10.0052.fcs,1
4329.846,392.54752,3771.9998,13.369326999999998,74.79951,RMM2018-10-10.0052.fcs,1
4372.753,2358.7212,5333.5054,9.198834,1131.6644,RMM2018-10-10.0052.fcs,1
4383.4316,591.235,5368.4634,32.115208,42.332316999999996,RMM2018-10-10.0052.fcs,1
4410.3687,903.9815699999999,4070.4736,-8.740238,95.1907,RMM2018-10-10.0052.fcs,1
4411.427,3038.6543,4992.2324,9.334107000000001,79.53169,RMM2018-10-10.0052.fcs,1
4445.3867,970.7414,6963.6147,7.094049000000001,124.42948999999999,RMM2018-10-10.0052.fcs,1
4459.144,3118.1335,4987.394,50.466904,80.24833000000001,RMM2018-10-10.0052.fcs,1
4487.524,2197.6394,5329.3477,0.27844179999999996,126.91476999999999,RMM2018-10-10.0052.fcs,1
4521.677,700.57825,4624.4834,15.046660000000001,179.31503,RMM2018-10-10.0052.fcs,1
4564.583,388.88138,3985.8540000000003,6.090372599999999,82.97516,RMM2018-10-10.0052.fcs,1
4588.1533,969.6124,4167.121,6.2023587,147.7677,RMM2018-10-10.0052.fcs,1
4593.829000000001,487.68994000000004,4790.5586,-13.727603,14.437672000000001,RMM2018-10-10.0052.fcs,1
4611.723,414.35303,7580.3154,38.052277000000004,25.2138,RMM2018-10-10.0052.fcs,1
4616.7256,1064.4082,6690.0146,8.852751,47.988113,RMM2018-10-10.0052.fcs,1
4737.943,2795.4595,5994.875,21.928778,14.300305999999999,RMM2018-10-10.0052.fcs,1
4786.429,1880.5392,4219.4824,-0.19848573,32.33011,RMM2018-10-10.0052.fcs,1
4796.146,1422.0051,6542.8594,37.60538,33.666171999999996,RMM2018-10-10.0052.fcs,1
4817.3105,1224.3271,4071.7459999999996,-24.873117,77.134636,RMM2018-10-10.0052.fcs,1
4822.7944,1891.1039,7230.3009999999995,32.416378,109.21808999999999,RMM2018-10-10.0052.fcs,1
4850.02,1474.5011,4146.2197,37.12703,64.73116999999999,RMM2018-10-10.0052.fcs,1
4859.64,1498.2942,3489.83,42.435016999999995,58.747818,RMM2018-10-10.0052.fcs,1
4873.59,2306.5332,3723.9216,57.09414,-13.867655,RMM2018-10-10.0052.fcs,1
4931.215999999999,858.0451699999999,3661.7314,10.897277,-15.890689000000002,RMM2018-10-10.0052.fcs,1
4947.8594,377.8964,6662.696999999999,31.202082,114.27443000000001,RMM2018-10-10.0052.fcs,1
4950.6494,2423.3604,4198.4946,59.832159999999995,111.62916000000001,RMM2018-10-10.0052.fcs,1
4993.075,2082.7942,3964.7124,29.262646000000004,17.508438,RMM2018-10-10.0052.fcs,1
5039.7344,2295.0063,4221.135,-6.723103500000001,48.45925,RMM2018-10-10.0052.fcs,1
5076.484,1094.8431,4709.3345,48.209377,-2.2436943,RMM2018-10-10.0052.fcs,1
5105.0566,856.8932,6271.460999999999,-9.219973,-3.7080927000000004,RMM2018-10-10.0052.fcs,1
5150.7534,2958.6306,5757.638000000001,38.754129999999996,93.59362,RMM2018-10-10.0052.fcs,1
5154.409000000001,2406.085,4034.7983,60.92275,51.307907,RMM2018-10-10.0052.fcs,1
5192.505999999999,359.04205,6270.271,-29.902681,-7.505375,RMM2018-10-10.0052.fcs,1
5283.3223,517.26605,3966.2039,5.217887,-7.5874352,RMM2018-10-10.0052.fcs,1
5303.2363,2090.3442,4153.815,8.638432,-13.64112,RMM2018-10-10.0052.fcs,1
5329.6924,1068.8186,3966.3975,4.049124,15.768851999999999,RMM2018-10-10.0052.fcs,1
5365.9614,727.0946700000001,4246.318,33.37505,70.16799,RMM2018-10-10.0052.fcs,1
5373.656999999999,1961.2448,5161.232,47.77536,16.318012,RMM2018-10-10.0052.fcs,1
5374.4272,2187.4783,5200.9683,-5.6268926,23.771932999999997,RMM2018-10-10.0052.fcs,1
5395.7847,2091.062,5370.0806,4.16555,-74.523895,RMM2018-10-10.0052.fcs,1
5490.545,2460.2559,5416.7744,15.698405,77.507835,RMM2018-10-10.0052.fcs,1
5503.2446,1741.6465,4567.7324,-23.698824,-39.239815,RMM2018-10-10.0052.fcs,1
5575.3009999999995,1484.3844,3536.2996,7.108575999999999,62.953109999999995,RMM2018-10-10.0052.fcs,1
5650.7246,549.92566,5247.4259999999995,-6.751172,30.36303,RMM2018-10-10.0052.fcs,1
5665.7324,331.54578,3749.7998,5.577979599999999,74.47191,RMM2018-10-10.0052.fcs,1
5702.2896,550.1644,3829.7883,35.61926,9.266805,RMM2018-10-10.0052.fcs,1
5817.061,1970.7817,4129.6914,34.602084999999995,922.0051,RMM2018-10-10.0052.fcs,1
5831.203,1238.0771,6697.4717,18.186357,1351.5812,RMM2018-10-10.0052.fcs,1
5880.844,1116.1029,6739.0356,12.634034,1621.6443,RMM2018-10-10.0052.fcs,1
5896.3330000000005,1938.1860000000001,4747.7954,22.750698,48.980534000000006,RMM2018-10-10.0052.fcs,1
5903.1636,3003.7559,3715.188,23.623486,-64.717606,RMM2018-10-10.0052.fcs,1
6039.965,2638.2795,5527.0527,69.5614,-46.953278000000005,RMM2018-10-10.0052.fcs,1
6045.16,2072.9578,4776.0044,5.167718,-48.973644,RMM2018-10-10.0052.fcs,1
6141.3643,934.2197,6272.3257,-4.8331194,93.35488000000001,RMM2018-10-10.0052.fcs,1
6180.904,1784.1556,6331.1904,11.684119,-21.584967000000002,RMM2018-10-10.0052.fcs,1
6181.7695,2211.3591,5994.468000000001,29.270573,-24.751904,RMM2018-10-10.0052.fcs,1
6238.9146,1736.3723,3487.9653,-35.193787,25.337194,RMM2018-10-10.0052.fcs,1
6254.3076,424.5648,7241.4473,-17.09968,75.824486,RMM2018-10-10.0052.fcs,1
6255.6543,1675.746,3928.768,33.87988,23.885248,RMM2018-10-10.0052.fcs,1
6348.395,1106.883,5891.166,21.380459,94.45727,RMM2018-10-10.0052.fcs,1
6349.357,1236.0212,6588.986999999999,-7.249047,29.742907000000002,RMM2018-10-10.0052.fcs,1
6362.825,2275.9526,4902.316,45.05788,6.0665207,RMM2018-10-10.0052.fcs,1
6376.4863,609.9001,3751.6743,37.649570000000004,-11.526038,RMM2018-10-10.0052.fcs,1
6381.104,477.8645,4565.6475,58.39574399999999,16.320202,RMM2018-10-10.0052.fcs,1
6483.9463,2282.9053,5280.8584,33.724876,5.5344714999999995,RMM2018-10-10.0052.fcs,1
6485.9663,2485.2766,4536.111,42.679783,-23.850479999999997,RMM2018-10-10.0052.fcs,1
6497.7993,1499.8608,6122.396,-15.862670000000001,-0.9617486999999999,RMM2018-10-10.0052.fcs,1
6521.754,696.2205,4019.1184,9.400350999999999,86.77687,RMM2018-10-10.0052.fcs,1
6570.914000000001,794.91473,5042.8984,14.913677999999999,71.32865,RMM2018-10-10.0052.fcs,1
6585.153,354.76800000000003,4777.566,-10.89857,41.415929999999996,RMM2018-10-10.0052.fcs,1
6621.0366,1999.0016,6489.8135,-13.4225025,-13.028572,RMM2018-10-10.0052.fcs,1
6623.634,2691.5234,4656.0938,25.079584,-18.372618,RMM2018-10-10.0052.fcs,1
6670.485,942.19574,4402.4053,23.596266,3.2969766000000003,RMM2018-10-10.0052.fcs,1
6709.7363,832.6802,4663.2363,21.37448,-19.09516,RMM2018-10-10.0052.fcs,1
6850.579000000001,736.10956,3486.5942,-31.28636,23.728489,RMM2018-10-10.0052.fcs,1
6863.951,1606.1223,3578.7637,27.292279999999998,-55.866707,RMM2018-10-10.0052.fcs,1
6884.3467,1572.5616,4966.163,52.216384999999995,-22.630564,RMM2018-10-10.0052.fcs,1
6912.8228,2590.5754,7582.1140000000005,37.7268,77.06689,RMM2018-10-10.0052.fcs,1
6944.3774,1505.7836,4321.1206,54.233288,86.23281,RMM2018-10-10.0052.fcs,1
7064.920999999999,353.914,6179.9169999999995,55.038790000000006,144.64186,RMM2018-10-10.0052.fcs,1
7069.346,1031.9017,3520.223,23.76588,15.927439000000001,RMM2018-10-10.0052.fcs,1
7125.5293,2382.2156,6068.615,33.132977000000004,-36.607459999999996,RMM2018-10-10.0052.fcs,1
7133.321999999999,2100.1199,4329.327,3.2277242999999998,-32.738409999999995,RMM2018-10-10.0052.fcs,1
7143.135,3094.5959999999995,4419.407999999999,31.703312,-27.030205,RMM2018-10-10.0052.fcs,1
7146.3096,535.1399,6188.474,33.857887,30.396071999999997,RMM2018-10-10.0052.fcs,1
