HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
8.750814,1986.977,4732.759,-13.104645,2304.1343,RMM2018-10-10.0053.fcs,1
17.571634,2497.4214,4236.1704,9.7745285,-6.7577705,RMM2018-10-10.0053.fcs,1
42.14392,1359.047,6144.4854,1.5785348,6779.2607,RMM2018-10-10.0053.fcs,1
61.745743000000004,2372.4114,6696.6514,37.814816,110.8479,RMM2018-10-10.0053.fcs,1
78.75733000000001,982.00775,4592.849,47.20093,7974.651999999999,RMM2018-10-10.0053.fcs,1
114.32063000000001,1365.2782,4269.9546,19.512909,13.371289,RMM2018-10-10.0053.fcs,1
120.48121,1225.725,7276.8345,50.883358,25.510078,RMM2018-10-10.0053.fcs,1
207.91933999999998,1848.7599,6081.028,29.976612,-1.0256186,RMM2018-10-10.0053.fcs,1
209.7395,4184.736,5022.3936,52.987213,-19.326773,RMM2018-10-10.0053.fcs,1
296.75763,3596.0654,5324.956999999999,2.7302072,-4.1844316,RMM2018-10-10.0053.fcs,1
346.8823,3002.9597,9808.543,34.3875,-26.255854,RMM2018-10-10.0053.fcs,1
404.3576,2311.2903,4453.2609999999995,30.836378000000003,-1.4028089,RMM2018-10-10.0053.fcs,1
451.47202000000004,2959.1995,7134.6455,33.404396000000006,11662.957,RMM2018-10-10.0053.fcs,1
487.31534000000005,1254.6628,4417.003,77.53738,82.87505999999999,RMM2018-10-10.0053.fcs,1
533.44965,1566.6482,6409.1567,35.340740000000004,-40.49579,RMM2018-10-10.0053.fcs,1
727.5077,2426.4045,4463.9259999999995,33.955723,17.042828,RMM2018-10-10.0053.fcs,1
760.90076,3171.7009999999996,7013.863,77.133484,9921.721,RMM2018-10-10.0053.fcs,1
817.046,3133.3513,8060.6025,56.664913,78.36575,RMM2018-10-10.0053.fcs,1
846.72876,2856.3372,6392.504,-9.77007,-12.542755,RMM2018-10-10.0053.fcs,1
847.2888,2175.6729,6150.857,12.164475999999999,-0.00090527534,RMM2018-10-10.0053.fcs,1
975.1208,2161.874,5249.911999999999,26.047048999999998,-55.034996,RMM2018-10-10.0053.fcs,1
1000.3231,750.1804,5300.507,55.14705,10990.353000000001,RMM2018-10-10.0053.fcs,1
1016.56464,2760.02,7672.2886,43.485935,34.228146,RMM2018-10-10.0053.fcs,1
1123.8146,3352.5093,4728.9243,50.8523,28.308168,RMM2018-10-10.0053.fcs,1
1148.8069,805.58875,6652.999,3.1072227999999997,8056.5083,RMM2018-10-10.0053.fcs,1
1186.1204,2481.4210000000003,7262.005,5.0729504,9.694432,RMM2018-10-10.0053.fcs,1
1217.4833,1593.2025,6501.3887,17.778728,10066.921999999999,RMM2018-10-10.0053.fcs,1
1298.6908,1929.0104,8574.4795,58.13318,15913.919,RMM2018-10-10.0053.fcs,1
1299.5309,2581.1814,5991.866999999999,55.55534399999999,12102.412,RMM2018-10-10.0053.fcs,1
1358.1964,1198.0715,5022.6562,41.490673,-35.555409999999995,RMM2018-10-10.0053.fcs,1
1364.9170000000001,3346.0664,8162.566999999999,0.4232769,15712.123,RMM2018-10-10.0053.fcs,1
1375.4879,978.5498699999999,3973.7314,3.414969,-29.72898,RMM2018-10-10.0053.fcs,1
1378.2181,1437.3176,4872.3613,15.892192999999999,7845.5474,RMM2018-10-10.0053.fcs,1
1402.4406,3712.3477,7760.1934,58.697990000000004,13644.472,RMM2018-10-10.0053.fcs,1
1451.655,1685.1229999999998,5844.134,35.305904,-5.525581400000001,RMM2018-10-10.0053.fcs,1
1452.7751,3871.0562,9481.545,57.17872,43.278103,RMM2018-10-10.0053.fcs,1
1550.2942,1209.5464,6533.2827,9.868111,4505.928,RMM2018-10-10.0053.fcs,1
1558.835,1700.2120000000002,4217.7686,23.175777,-28.381046,RMM2018-10-10.0053.fcs,1
1570.316,787.7686,5726.5117,50.153453999999996,32.739746000000004,RMM2018-10-10.0053.fcs,1
