HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
12.395671,1150.2065,5592.9556,16.880413,1329.62,RMM2018-10-10.0062.fcs,1
52.377083,602.8613,5348.0073,-30.280590000000004,34333.656,RMM2018-10-10.0062.fcs,1
85.26501999999999,844.26385,4173.0586,43.452797,21087.492000000002,RMM2018-10-10.0062.fcs,1
99.45196999999999,462.7854,6515.1963,5.803527,1025.2399,RMM2018-10-10.0062.fcs,1
124.52991999999999,2541.6023,5272.668000000001,3.2708318,40906.316,RMM2018-10-10.0062.fcs,1
140.86641,1690.1752,6545.025,30.010654,1657.0266,RMM2018-10-10.0062.fcs,1
234.58629,2900.0637,3744.2808,19.25402,12010.303999999998,RMM2018-10-10.0062.fcs,1
311.96963999999997,2980.3284,5500.9883,27.469551,1080.4371,RMM2018-10-10.0062.fcs,1
319.06314,697.0492,4607.2334,58.16741,652.38257,RMM2018-10-10.0062.fcs,1
352.02274,1250.4481,7798.686,55.696514,19933.598,RMM2018-10-10.0062.fcs,1
417.15375,908.3072,4430.9185,3.25623,1127.8854,RMM2018-10-10.0062.fcs,1
420.52135999999996,946.8649,3851.808,7.799505,-69.982834,RMM2018-10-10.0062.fcs,1
432.20052999999996,1741.0447,4861.4263,6.8026466,1235.5138,RMM2018-10-10.0062.fcs,1
449.82672,788.02045,3776.0723,71.91518,5958.0723,RMM2018-10-10.0062.fcs,1
506.28792999999996,715.5057400000001,3677.3318,-6.842016,-74.754005,RMM2018-10-10.0062.fcs,1
537.3129,1658.985,4967.0996,7.441719,7769.0664,RMM2018-10-10.0062.fcs,1
547.6307400000001,1961.3842,5927.439,44.481262,43187.414000000004,RMM2018-10-10.0062.fcs,1
567.83636,3370.5396,4909.8354,-0.45675135,43137.223,RMM2018-10-10.0062.fcs,1
616.41595,2980.7205,7382.8647,34.250977,-23.641588,RMM2018-10-10.0062.fcs,1
652.67145,2906.1655,4728.1694,54.57045,918.4686,RMM2018-10-10.0062.fcs,1
655.3226,1261.9423,3903.3759999999997,32.08987,119.74773,RMM2018-10-10.0062.fcs,1
657.6871,1052.6572,5543.793000000001,30.968072999999997,1105.69,RMM2018-10-10.0062.fcs,1
676.8896,1876.7213,4658.1616,39.652164,813.7592,RMM2018-10-10.0062.fcs,1
697.5252,1330.2086,6937.5205,49.404224,1076.7157,RMM2018-10-10.0062.fcs,1
722.0299,1966.0117,4373.4653,10.432698,908.3587,RMM2018-10-10.0062.fcs,1
755.4910000000001,538.6460599999999,3614.7136,28.266277000000002,-115.04876999999999,RMM2018-10-10.0062.fcs,1
779.1360000000001,483.76937999999996,6692.3545,31.459384999999997,13576.311000000002,RMM2018-10-10.0062.fcs,1
802.0644,2882.6887,5413.901999999999,13.229379999999999,16109.686000000002,RMM2018-10-10.0062.fcs,1
810.01764,2915.0527,6399.4097,20.305706,1577.9504,RMM2018-10-10.0062.fcs,1
810.5192,2929.6262,6382.3125,2.213178,1343.3945,RMM2018-10-10.0062.fcs,1
857.0209,918.4664,5856.7334,67.05331,1371.8310000000001,RMM2018-10-10.0062.fcs,1
880.7375,1485.655,5543.3496,50.9822,2505.1843,RMM2018-10-10.0062.fcs,1
883.2452400000001,1242.8629,5578.4326,7.5653086,372.2569,RMM2018-10-10.0062.fcs,1
905.1706,2901.8323,7767.047,39.592037,25773.316000000003,RMM2018-10-10.0062.fcs,1
928.31396,1227.2043,5627.8755,-13.14984,16366.506000000001,RMM2018-10-10.0062.fcs,1
933.6877400000001,2841.17,6512.446,9.169731,768.61835,RMM2018-10-10.0062.fcs,1
935.47906,2455.2043,5459.205,23.442415,1789.1979,RMM2018-10-10.0062.fcs,1
974.3857,1764.1736,3986.2031,-36.248165,10160.146999999999,RMM2018-10-10.0062.fcs,1
996.5976,732.75995,4987.3306,-7.200922,3156.6697,RMM2018-10-10.0062.fcs,1
1065.6694,2907.6484,6485.0166,7.295037700000001,1100.6821,RMM2018-10-10.0062.fcs,1
1066.7441,3275.1768,7700.791,29.023125,1550.2286,RMM2018-10-10.0062.fcs,1
1071.9031,1235.3928,4184.842000000001,-4.7365685,5435.3945,RMM2018-10-10.0062.fcs,1
1085.0154,2621.6448,7792.266,4.1011477,62276.48,RMM2018-10-10.0062.fcs,1
1085.9467,1707.3065,6205.965999999999,35.310966,1294.4792,RMM2018-10-10.0062.fcs,1
1155.3768,1026.3746,3608.634,-29.686787,195.96068,RMM2018-10-10.0062.fcs,1
1206.6791,504.96972999999997,4271.723,38.380984999999995,3721.665,RMM2018-10-10.0062.fcs,1
1224.2336,1960.3462,3611.0881,10.560024,765.2832,RMM2018-10-10.0062.fcs,1
1233.0469,1447.5388,6381.818,26.838866999999997,154.00633,RMM2018-10-10.0062.fcs,1
1283.6326,2327.7407,5721.4976,40.760036,31.200692999999998,RMM2018-10-10.0062.fcs,1
1329.9193,619.1946,5259.187,67.02158,52057.01,RMM2018-10-10.0062.fcs,1
1344.2496,474.3725,4176.306,28.532940000000004,863.12054,RMM2018-10-10.0062.fcs,1
1358.2932,1616.816,6958.5903,15.679511999999999,1717.3115,RMM2018-10-10.0062.fcs,1
1358.7948,1221.4213,5274.477,59.966213,1471.0179999999998,RMM2018-10-10.0062.fcs,1
1400.8541,1353.8329999999999,5840.705,34.260544,4657.891,RMM2018-10-10.0062.fcs,1
1408.5208,544.66473,5272.2837,8.9122095,46493.02,RMM2018-10-10.0062.fcs,1
1537.7797,2065.3723,6221.5166,45.249404999999996,15751.91,RMM2018-10-10.0062.fcs,1
1591.0166,1173.0728,3685.342,-5.8485584,755.72217,RMM2018-10-10.0062.fcs,1
1597.0354,1986.0469,5695.576999999999,-0.013101101,6114.666,RMM2018-10-10.0062.fcs,1
1598.1101,2599.075,5093.179,68.47623399999999,44179.015999999996,RMM2018-10-10.0062.fcs,1
1605.3469,1892.1414,5696.0854,-0.70726657,1087.1228,RMM2018-10-10.0062.fcs,1
1607.8547,2052.311,7821.6943,30.921653999999997,1124.2018,RMM2018-10-10.0062.fcs,1
1664.5309,2613.9524,5575.4169999999995,26.328000000000003,-62.600113,RMM2018-10-10.0062.fcs,1
1683.4468,847.08875,7483.359,30.452852000000004,53776.324,RMM2018-10-10.0062.fcs,1
1717.6960000000001,721.921,6160.571,11.907171,27160.135,RMM2018-10-10.0062.fcs,1
1718.1975,2569.9316,6366.7896,34.150833,20191.975,RMM2018-10-10.0062.fcs,1
1733.8176,2795.0051,3648.5054,27.567486,5203.747,RMM2018-10-10.0062.fcs,1
1745.64,1437.6846,4665.4575,9.59832,52996.953,RMM2018-10-10.0062.fcs,1
1767.3503,1536.0537,5754.2886,83.159424,53665.496,RMM2018-10-10.0062.fcs,1
1768.2102,1892.6019,4976.9126,13.578674,3890.2485,RMM2018-10-10.0062.fcs,1
1808.1915,2770.886,3886.282,23.221994,91.858536,RMM2018-10-10.0062.fcs,1
1818.8676,1006.0112,4945.34,-6.446023,31.015255,RMM2018-10-10.0062.fcs,1
1823.6683,1341.3308,4281.287,37.121735,6828.934,RMM2018-10-10.0062.fcs,1
1859.7089,1645.1139,4684.59,7.585342,-32.677143,RMM2018-10-10.0062.fcs,1
1881.6342,3004.0078,5490.0293,-11.999899000000001,47692.405999999995,RMM2018-10-10.0062.fcs,1
1973.1328,2156.5984,6620.621,33.31188,550.6432,RMM2018-10-10.0062.fcs,1
2058.5413,715.50366,4232.278,39.8974,682.59845,RMM2018-10-10.0062.fcs,1
2099.096,1359.0071,4288.7666,55.44501999999999,20446.082,RMM2018-10-10.0062.fcs,1
2126.4666,3379.167,4534.174,43.730145,-1.3042616000000002,RMM2018-10-10.0062.fcs,1
2166.2329999999997,3220.2007,3719.6072,17.286388,2954.5212,RMM2018-10-10.0062.fcs,1
2177.0522,2740.8567,5192.92,9.933197,668.71185,RMM2018-10-10.0062.fcs,1
2177.7688,3132.9011,4315.1904,43.418343,773.8414,RMM2018-10-10.0062.fcs,1
2277.7224,765.5081,3652.1401,-14.216445000000002,36484.504,RMM2018-10-10.0062.fcs,1
2280.8035,1389.0795,4595.3037,21.339216,34990.207,RMM2018-10-10.0062.fcs,1
2325.2273,1085.2662,3606.9153,-21.376827,19531.652,RMM2018-10-10.0062.fcs,1
2330.6729,2629.5935,4355.7227,24.024732999999998,12885.713,RMM2018-10-10.0062.fcs,1
2400.6045,1062.976,3777.363,20.202552999999998,4370.769,RMM2018-10-10.0062.fcs,1
2441.3022,1710.6259,4492.772,-1.5780995,10475.596,RMM2018-10-10.0062.fcs,1
2478.346,653.67444,5233.04,38.119144,147.56476999999998,RMM2018-10-10.0062.fcs,1
2487.6606,1690.4834,4289.955,-14.037610999999998,7884.9414,RMM2018-10-10.0062.fcs,1
2495.9722,1896.1825,3673.8247,19.39571,242.46632000000002,RMM2018-10-10.0062.fcs,1
2532.013,1339.0969,5367.861,20.866045,15257.176000000001,RMM2018-10-10.0062.fcs,1
2563.2527,2572.0813,3759.6094,9.464416499999999,20665.324,RMM2018-10-10.0062.fcs,1
2579.3027,1494.8267,5070.133,7.033823,1294.9255,RMM2018-10-10.0062.fcs,1
2606.53,1954.4021,4161.509,28.782202,531.26984,RMM2018-10-10.0062.fcs,1
2624.7295,1412.9689,4366.434,44.592987,8958.863000000001,RMM2018-10-10.0062.fcs,1
2628.5989,1463.8014,4565.513,45.285084000000005,7416.445,RMM2018-10-10.0062.fcs,1
2643.0723,455.55182,6723.0509999999995,44.834559999999996,4995.335,RMM2018-10-10.0062.fcs,1
2644.7917,2730.0808,4206.3135,32.15639,287.32372999999995,RMM2018-10-10.0062.fcs,1
2650.0225,1346.5529,5285.057,47.439537,1081.8143,RMM2018-10-10.0062.fcs,1
2719.0942,1539.3629,4510.085,-11.654214999999999,31777.318,RMM2018-10-10.0062.fcs,1
2745.3188,1716.4389999999999,3637.0422,-21.967398,30059.264,RMM2018-10-10.0062.fcs,1
2784.4404,1828.3447,6659.3354,50.426190000000005,809.3408,RMM2018-10-10.0062.fcs,1
2789.3125,576.698,6070.956,-15.208803,1475.1503,RMM2018-10-10.0062.fcs,1
2818.5464,1320.7075,5450.9169999999995,54.07405,640.88416,RMM2018-10-10.0062.fcs,1
2844.9856,2821.3782,7721.433000000001,13.220123000000001,1763.1394,RMM2018-10-10.0062.fcs,1
2867.3408,2873.4559999999997,7048.1626,41.57564,3660.283,RMM2018-10-10.0062.fcs,1
2876.9421,2554.185,4629.266,13.231551999999999,6561.031999999999,RMM2018-10-10.0062.fcs,1
2893.1353,1960.0399,3842.864,10.238059,-33.782337,RMM2018-10-10.0062.fcs,1
2894.7114,1067.0779,4393.2285,14.0564995,-58.57689,RMM2018-10-10.0062.fcs,1
2913.914,541.72943,6446.094,23.286663,1261.8503,RMM2018-10-10.0062.fcs,1
3095.2634,2625.3774,6672.471,20.144737,48683.02,RMM2018-10-10.0062.fcs,1
3103.1453,2364.9692,4164.522,43.189198,740.2593,RMM2018-10-10.0062.fcs,1
3128.3665,826.2668,5498.8623,80.50538,5807.2134,RMM2018-10-10.0062.fcs,1
3153.5876,2216.0186,4747.3735,-27.115181,17097.308999999997,RMM2018-10-10.0062.fcs,1
3155.0923,2621.4849,4287.0923,-15.827616,1571.9702,RMM2018-10-10.0062.fcs,1
3176.301,3188.0066,5936.526,32.120014000000005,27996.639,RMM2018-10-10.0062.fcs,1
3199.2295,1729.4825,5149.7056,8.079941,15241.313999999998,RMM2018-10-10.0062.fcs,1
3238.7095,1243.3933,5259.316999999999,5.836342,1698.3888,RMM2018-10-10.0062.fcs,1
3249.3853,1988.036,4394.768,27.021154,263.80307,RMM2018-10-10.0062.fcs,1
3311.4355,1766.4818,6787.611,10.177052,6057.4717,RMM2018-10-10.0062.fcs,1
3345.6848,479.3471,4497.477,13.471936,825.48016,RMM2018-10-10.0062.fcs,1
3348.9807,822.91205,5318.3384,-38.871063,44443.95,RMM2018-10-10.0062.fcs,1
3349.7688,3206.407,5467.385,-24.716585000000002,37711.44,RMM2018-10-10.0062.fcs,1
3397.9182,665.1365,7041.218000000001,-7.087076,-30.245746999999998,RMM2018-10-10.0062.fcs,1
3417.4077,2087.552,5881.986,8.673337,30250.365,RMM2018-10-10.0062.fcs,1
3504.3920000000003,2002.135,3819.3188,-4.6059384,1062.0854,RMM2018-10-10.0062.fcs,1
3521.9468,2793.0286,5695.9736,-2.398566,3877.1228,RMM2018-10-10.0062.fcs,1
3533.2678,493.59283,5495.1587,-12.21204,1416.9069,RMM2018-10-10.0062.fcs,1
3545.2336,2005.1329999999998,6624.0894,51.545376,22.236948,RMM2018-10-10.0062.fcs,1
3563.0747,2127.6357,6355.3296,-15.370686,-26.40977,RMM2018-10-10.0062.fcs,1
3566.6572,649.82526,4297.991,37.581028,304.35895,RMM2018-10-10.0062.fcs,1
3571.9595,3071.0413,7766.971,28.327156,1047.4688,RMM2018-10-10.0062.fcs,1
3572.533,2590.9023,7480.459,30.172929999999997,1083.8535,RMM2018-10-10.0062.fcs,1
3592.452,1869.3201,6424.7637,-16.184207999999998,943.4780000000001,RMM2018-10-10.0062.fcs,1
3613.3738,972.3187,4052.615,25.282253,516.0473599999999,RMM2018-10-10.0062.fcs,1
3614.0906,2122.0676,4170.5405,-23.924984,600.7589,RMM2018-10-10.0062.fcs,1
3627.7756,2851.7415,3704.5564,15.548251,26.337088,RMM2018-10-10.0062.fcs,1
3668.187,1407.2977,4366.0312,15.315710000000001,112.87383,RMM2018-10-10.0062.fcs,1
3677.2869,1561.3479,4058.7529999999997,-4.9582386,895.3443599999999,RMM2018-10-10.0062.fcs,1
3690.7573,3013.3413,5886.6074,35.78028,-120.96732,RMM2018-10-10.0062.fcs,1
3719.776,494.89624000000003,7442.661999999999,40.372482,54691.246,RMM2018-10-10.0062.fcs,1
3733.9631,696.4194,4592.693,44.834045,1113.6589999999999,RMM2018-10-10.0062.fcs,1
3745.857,1688.4722,3896.833,49.854343,17769.328,RMM2018-10-10.0062.fcs,1
3769.0007,767.9513,4970.4536,31.735654999999998,9366.106,RMM2018-10-10.0062.fcs,1
3817.0068,3054.4883,7388.5283,-13.786446,3230.6716,RMM2018-10-10.0062.fcs,1
3819.1562,476.53986,3712.8337,27.920396999999998,33095.605,RMM2018-10-10.0062.fcs,1
3852.6890000000003,1008.2935,5743.634,-0.83074236,858.6232,RMM2018-10-10.0062.fcs,1
3950.2783,1131.9152,5282.9259999999995,-12.312234,30080.629,RMM2018-10-10.0062.fcs,1
3994.2002,1760.0488,7744.686,-17.066792,33858.61,RMM2018-10-10.0062.fcs,1
3998.2847,2805.6401,6121.6724,18.62255,20077.297,RMM2018-10-10.0062.fcs,1
3999.2876,536.69147,4681.1655,26.045454,42027.074,RMM2018-10-10.0062.fcs,1
4018.132,1189.1792,3798.2014,21.074938,660.5182,RMM2018-10-10.0062.fcs,1
4042.6365,1134.5428,6376.5347,51.528267,941.96185,RMM2018-10-10.0062.fcs,1
4050.8765,1752.1514,4438.7114,-22.774487,505.71297999999996,RMM2018-10-10.0062.fcs,1
4061.8394,3216.3958,5834.4824,46.39602,35783.687999999995,RMM2018-10-10.0062.fcs,1
4078.6057,2419.8098,4116.8843,8.830757,260.76956,RMM2018-10-10.0062.fcs,1
4136.643,549.0685,4502.645,38.674440000000004,353.42728,RMM2018-10-10.0062.fcs,1
4157.4937,2165.646,5304.8604,6.259652,831.7714,RMM2018-10-10.0062.fcs,1
4184.721,1058.3333,3744.095,-1.0660329,403.3298,RMM2018-10-10.0062.fcs,1
4192.6743,2926.2158,3944.6194,-8.970238,22248.414,RMM2018-10-10.0062.fcs,1
4201.9893,2861.0935,4867.13,45.39423,1530.7847,RMM2018-10-10.0062.fcs,1
4220.4033,1898.5612,4108.4259999999995,-29.490923,25547.057,RMM2018-10-10.0062.fcs,1
4227.1387,1257.5571,3994.5159999999996,-38.669266,343.43326,RMM2018-10-10.0062.fcs,1
4279.085999999999,1422.5486,5033.2609999999995,32.765915,9766.026,RMM2018-10-10.0062.fcs,1
4356.3975,897.6903,4378.4707,35.138397,416.55893,RMM2018-10-10.0062.fcs,1
4430.413,676.99414,7625.066,6.736032499999999,43633.695,RMM2018-10-10.0062.fcs,1
4500.9185,3350.2517,4572.3066,37.48822,518.8099,RMM2018-10-10.0062.fcs,1
4502.4946,3349.7917,4048.065,28.324347999999997,591.2145,RMM2018-10-10.0062.fcs,1
4519.4043,2885.4888,5227.277,17.002764000000003,1157.1906,RMM2018-10-10.0062.fcs,1
4523.775,1942.9642,5701.325,5.066436,11.458391,RMM2018-10-10.0062.fcs,1
4532.5166,1797.8514,5787.1387,55.439682,578.33057,RMM2018-10-10.0062.fcs,1
4535.1675,895.25183,4042.623,35.747128000000004,216.49677999999997,RMM2018-10-10.0062.fcs,1
4573.644,757.3446700000001,7642.2207,14.239474,1382.8221,RMM2018-10-10.0062.fcs,1
4636.1245,1413.3048,4241.7876,43.409615,1332.5421,RMM2018-10-10.0062.fcs,1
4765.598,2376.8108,6910.771,56.157109999999996,807.91034,RMM2018-10-10.0062.fcs,1
4766.458,643.9278,5521.4517,51.624153,-70.15436600000001,RMM2018-10-10.0062.fcs,1
4770.8286,1413.6478,6374.588000000001,7.0437183,-31.244844,RMM2018-10-10.0062.fcs,1
4790.963,1934.6962,3613.9429,13.708376000000001,554.76245,RMM2018-10-10.0062.fcs,1
4883.0347,3328.45,4217.852,23.54056,938.67365,RMM2018-10-10.0062.fcs,1
4895.3584,1847.599,3787.6133,-29.770437,531.9396,RMM2018-10-10.0062.fcs,1
5035.0786,1044.9293,6270.5254,4.742668,14269.493999999999,RMM2018-10-10.0062.fcs,1
5048.0474,2139.2983,4909.911,-6.800156599999999,54346.19,RMM2018-10-10.0062.fcs,1
5051.415,1159.8444,4521.063,28.030179999999998,18.551725,RMM2018-10-10.0062.fcs,1
5110.4556,1927.3363,7105.9385,4.55135,7456.5444,RMM2018-10-10.0062.fcs,1
5128.2970000000005,1451.9841,4691.3423,19.298123999999998,347.60385,RMM2018-10-10.0062.fcs,1
5131.736,1971.7993,4663.4814,-13.315395,21.950210000000002,RMM2018-10-10.0062.fcs,1
5137.325,3300.5725,5853.456,3.3128995999999997,1343.7845,RMM2018-10-10.0062.fcs,1
5141.5522,564.54065,3721.5588,12.072617999999999,113.931595,RMM2018-10-10.0062.fcs,1
5236.9917,1061.2992,5919.174,11.593553,38824.992,RMM2018-10-10.0062.fcs,1
5258.057,665.89435,4858.4529999999995,34.971214,3331.929,RMM2018-10-10.0062.fcs,1
5269.951,2477.5208,4847.032,38.958046,1285.9613,RMM2018-10-10.0062.fcs,1
5280.1978,2408.975,4330.2095,22.509281,3732.2929999999997,RMM2018-10-10.0062.fcs,1
5389.8955,1166.6471,4378.4346,14.761341,294.21976,RMM2018-10-10.0062.fcs,1
5393.7646,2567.0776,5388.6636,26.005770000000002,605.05743,RMM2018-10-10.0062.fcs,1
5394.481,1926.3386,4488.8496,4.106742,45.16737,RMM2018-10-10.0062.fcs,1
5441.3413,900.9318,3569.388,-23.300785,531.6991,RMM2018-10-10.0062.fcs,1
5470.933000000001,667.90625,4633.244000000001,6.0832524,720.21606,RMM2018-10-10.0062.fcs,1
5478.17,2626.7424,6784.749,32.515736,72592.86,RMM2018-10-10.0062.fcs,1
5505.3257,968.5928,3822.5505,22.702984,513.86993,RMM2018-10-10.0062.fcs,1
5507.6187,2534.5618,3789.402,11.052456,752.8155,RMM2018-10-10.0062.fcs,1
5520.874,3099.4238,3612.6194,29.217806,15946.473,RMM2018-10-10.0062.fcs,1
5527.2515,953.5437599999999,6088.3257,15.456479999999999,1018.2658,RMM2018-10-10.0062.fcs,1
5530.6187,2076.3013,5843.1313,19.633476,38909.81,RMM2018-10-10.0062.fcs,1
5542.7993,2730.3545,7496.331999999999,-2.592906,28509.795,RMM2018-10-10.0062.fcs,1
5547.241999999999,2664.111,5477.0923,27.185963,3361.034,RMM2018-10-10.0062.fcs,1
5552.1143,1128.424,3849.7112,35.36207,9006.143,RMM2018-10-10.0062.fcs,1
5554.049,1077.3727,3882.6433,57.523193000000006,693.5039999999999,RMM2018-10-10.0062.fcs,1
5585.861999999999,2519.4976,6573.786,17.092570000000002,615.8889,RMM2018-10-10.0062.fcs,1
5655.9365,1260.5659,4323.03,7.878995,-34.29068,RMM2018-10-10.0062.fcs,1
5670.4824,1078.5759,6428.1230000000005,16.562720000000002,599.6874,RMM2018-10-10.0062.fcs,1
5727.588000000001,1448.2809,5488.0547,-18.543003,-131.24695,RMM2018-10-10.0062.fcs,1
5737.9775,3002.5737,5082.8643,5.1061945,866.0095,RMM2018-10-10.0062.fcs,1
5741.8467,744.68286,3997.0154,50.275546999999996,465.5578,RMM2018-10-10.0062.fcs,1
5754.3857,1617.6135,5460.151999999999,7.934271300000001,-25.014101,RMM2018-10-10.0062.fcs,1
5810.0586,1896.8,4121.859,22.637154000000002,7508.262,RMM2018-10-10.0062.fcs,1
5827.1836,2362.1218,3901.2324,18.092554,1101.4634,RMM2018-10-10.0062.fcs,1
5847.8906,2175.851,5047.01,43.707638,984.71277,RMM2018-10-10.0062.fcs,1
5860.7876,1968.0496,4509.8506,17.876163000000002,13527.181999999999,RMM2018-10-10.0062.fcs,1
5899.5513,2322.0127,6765.9736,20.117416,40196.812000000005,RMM2018-10-10.0062.fcs,1
5929.4297,1694.2169,7800.2609999999995,46.852996999999995,43857.652,RMM2018-10-10.0062.fcs,1
5934.66,1790.7203,4880.3965,29.461494000000002,2366.9829999999997,RMM2018-10-10.0062.fcs,1
5941.1807,1430.9197,7501.4136,-24.612988,1015.0137300000001,RMM2018-10-10.0062.fcs,1
