HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
35.876472,1334.6138,4704.3193,9.461764,-22.05753,RMM2018-10-10.0055.fcs,1
52.2202,846.66345,3790.946,9.638847,61.378265,RMM2018-10-10.0055.fcs,1
105.33731,723.0661,3992.4759999999997,-36.47036,-33.11833,RMM2018-10-10.0055.fcs,1
121.382065,487.26447,4733.0415,-20.935337,-46.267933,RMM2018-10-10.0055.fcs,1
126.165596,490.7729,5744.7983,18.766257999999997,19.092796,RMM2018-10-10.0055.fcs,1
200.90825,1714.7642,8275.56,-1.8825123,-2.8996847000000003,RMM2018-10-10.0055.fcs,1
211.97015,1528.8671,6998.4824,-5.674754,35.115158,RMM2018-10-10.0055.fcs,1
222.13516,1754.1514,5004.469,0.9195936,75.82018000000001,RMM2018-10-10.0055.fcs,1
229.11112999999997,2093.8865,6394.8164,-16.481472,-5.297644,RMM2018-10-10.0055.fcs,1
261.39996,2844.2297,5932.3364,40.92049,61.114506000000006,RMM2018-10-10.0055.fcs,1
273.95673,1798.3570000000002,5367.485,-24.871597,-5.354864,RMM2018-10-10.0055.fcs,1
291.59598,526.7319,5387.3730000000005,2.0104418,108.98385,RMM2018-10-10.0055.fcs,1
316.90884,3079.6538,7959.763000000001,8.728889,34.70819,RMM2018-10-10.0055.fcs,1
337.23883,3335.0889,4563.8325,31.708047999999998,85.75820999999999,RMM2018-10-10.0055.fcs,1
355.77502000000004,1916.5259,4911.032999999999,-15.595684,-46.551117,RMM2018-10-10.0055.fcs,1
375.0088,453.57294,3783.8152,25.90813,45.62085,RMM2018-10-10.0055.fcs,1
388.56212999999997,1539.1617,7502.644,0.8479705,105.03551499999999,RMM2018-10-10.0055.fcs,1
461.51095999999995,2679.8813,5571.0967,7.4340553,73.060974,RMM2018-10-10.0055.fcs,1
470.48007,2855.1152,4139.641,10.070995,2.2902174,RMM2018-10-10.0055.fcs,1
606.91034,2376.7522,7903.7609999999995,20.56018,44.166115000000005,RMM2018-10-10.0055.fcs,1
608.00653,3310.5906,6705.672,1.9627308999999997,-28.111702,RMM2018-10-10.0055.fcs,1
617.7729,2148.6484,3871.6025,-6.07895,26.205208,RMM2018-10-10.0055.fcs,1
645.6769,3235.5935,4421.8403,4.265918,10.091602,RMM2018-10-10.0055.fcs,1
672.0859,1481.8754,7102.611,15.215060999999999,-84.15674,RMM2018-10-10.0055.fcs,1
725.40234,3321.893,7568.1,-32.238647,27.069385999999998,RMM2018-10-10.0055.fcs,1
726.29926,1274.2179,7858.1553,3.485875,-11.908292999999999,RMM2018-10-10.0055.fcs,1
796.95593,2700.4421,4968.393,24.80579,-14.400518,RMM2018-10-10.0055.fcs,1
810.31,2645.0964,4949.049,-24.207575,-20.408426000000002,RMM2018-10-10.0055.fcs,1
847.8806,561.6914,4875.5654,-27.215635,4.9438667,RMM2018-10-10.0055.fcs,1
888.8396,2328.47,6963.5034,1.5650456,83.38271999999999,RMM2018-10-10.0055.fcs,1
917.7401,1038.5878,6623.7847,-9.024636,72.04118000000001,RMM2018-10-10.0055.fcs,1
924.21783,2490.6973,4062.244,21.908243,-41.621056,RMM2018-10-10.0055.fcs,1
929.4996,2886.6157,4565.873,13.917593,-47.897335,RMM2018-10-10.0055.fcs,1
931.6921,672.3103,5239.751,-16.484179,112.93893,RMM2018-10-10.0055.fcs,1
942.1560699999999,461.37737999999996,5805.1943,9.439375,22.743579999999998,RMM2018-10-10.0055.fcs,1
947.8365,1030.3138,4811.392,29.839129999999997,57.111008,RMM2018-10-10.0055.fcs,1
965.5754400000001,2879.9966,7238.1743,-21.016768,40.963271999999996,RMM2018-10-10.0055.fcs,1
978.3315,1871.2396,6412.4116,8.662464,13.825204999999999,RMM2018-10-10.0055.fcs,1
988.6958,1704.3042,5238.932,9.606981,-7.273249000000001,RMM2018-10-10.0055.fcs,1
999.95703,1800.6686,7190.8467,-11.275774,-66.24335500000001,RMM2018-10-10.0055.fcs,1
1050.9813,1942.6837,4308.7534,6.846674,-13.802268,RMM2018-10-10.0055.fcs,1
1074.6997,608.1346,6355.399,-39.060047,110.37518,RMM2018-10-10.0055.fcs,1
1136.2876,3182.4106,6261.5083,8.408398,80.02374,RMM2018-10-10.0055.fcs,1
1136.8855,2066.7188,6229.1377,3.2113996,25.87704,RMM2018-10-10.0055.fcs,1
1146.2533,443.39255,4071.276,-4.691693,71.50448,RMM2018-10-10.0055.fcs,1
1154.5248,1183.6539,4218.558,-22.150713,5.398209,RMM2018-10-10.0055.fcs,1
1175.7517,1071.0309,4198.585999999999,-8.788663,-2.7081046000000004,RMM2018-10-10.0055.fcs,1
1178.7415,2707.5957,4237.0034,27.738543,11.831786,RMM2018-10-10.0055.fcs,1
1212.3258,1846.8838,7000.4297,-15.216710999999998,115.2074,RMM2018-10-10.0055.fcs,1
1215.9135,1229.1515,5398.3687,31.183560999999997,-30.375999999999998,RMM2018-10-10.0055.fcs,1
1240.0304,2017.0383,3749.2285,26.498141999999998,30.036903000000002,RMM2018-10-10.0055.fcs,1
1255.8759,1044.8054,5215.322,7.118317,-19.489172,RMM2018-10-10.0055.fcs,1
1259.862,3149.2896,6870.3984,-12.695186,61.796623,RMM2018-10-10.0055.fcs,1
1317.7627,2253.6375,4115.212,6.811891999999999,-35.88005,RMM2018-10-10.0055.fcs,1
1341.6804,1323.2009,4761.635,5.9363985,-34.20197,RMM2018-10-10.0055.fcs,1
1386.9247,2686.6245,3783.7131,7.0268455,49.004321999999995,RMM2018-10-10.0055.fcs,1
1410.7426,1337.3059,4110.407,-10.629972,-17.540948999999998,RMM2018-10-10.0055.fcs,1
1466.1519,1196.2361,7181.9146,11.188317,31.866117,RMM2018-10-10.0055.fcs,1
1492.1622,2379.8796,4162.8584,1.4292672,80.72437,RMM2018-10-10.0055.fcs,1
1505.4166,1015.0406,6406.445,-8.948383,7.6093926,RMM2018-10-10.0055.fcs,1
1538.6024,1329.0277,6258.401,1.2409582000000001,-2.6339068,RMM2018-10-10.0055.fcs,1
1540.2966,3353.4497,3998.4114,-47.175076000000004,104.281364,RMM2018-10-10.0055.fcs,1
1572.685,1424.5388,5722.0596,-15.45065,82.71069,RMM2018-10-10.0055.fcs,1
1623.6097,2468.7002,4219.3022,-7.825717999999999,-45.16567,RMM2018-10-10.0055.fcs,1
1630.5857,1359.2455,3976.9604,14.753214999999999,98.865135,RMM2018-10-10.0055.fcs,1
1633.3761,489.74602999999996,4133.187,37.551525,4.6526155,RMM2018-10-10.0055.fcs,1
1665.4656,2188.1235,3783.3567,-9.098512,-32.411823,RMM2018-10-10.0055.fcs,1
1694.665,1812.0786,5546.816999999999,0.38533354,58.89945600000001,RMM2018-10-10.0055.fcs,1
1697.8541,2303.2329999999997,6115.7637,14.930141,30.183744,RMM2018-10-10.0055.fcs,1
1698.8506,889.15173,6644.491999999999,-37.707684,-45.441105,RMM2018-10-10.0055.fcs,1
1700.8438,3041.0344,4829.4985,24.681332,-24.075615,RMM2018-10-10.0055.fcs,1
1742.5002,654.3206,4260.5509999999995,-1.6442995999999999,1.1015276000000003,RMM2018-10-10.0055.fcs,1
1753.9609,1723.3857,6637.9707,13.176939,31.028221000000002,RMM2018-10-10.0055.fcs,1
1787.7445,437.4131,3892.5040000000004,48.973965,192.34288,RMM2018-10-10.0055.fcs,1
1812.3599,1627.4055,7012.9883,24.085245,64.69863000000001,RMM2018-10-10.0055.fcs,1
1840.463,2412.33,5014.974,37.477955,150.29822,RMM2018-10-10.0055.fcs,1
1860.6934,492.52932999999996,4129.1543,36.961933,19.527012,RMM2018-10-10.0055.fcs,1
1961.4464,2029.1093,4696.1445,-17.739998,29.416159000000004,RMM2018-10-10.0055.fcs,1
1969.2197,447.98105,7497.6074,3.5443006,-22.459497,RMM2018-10-10.0055.fcs,1
1993.536,1283.8088,5574.706999999999,16.177214000000003,-2.0844646,RMM2018-10-10.0055.fcs,1
