HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file,Gates
339.7597,851.10474,3732.616,13.209897,-7.065001,RMM2018-10-10.0088.fcs,1
569.07135,1982.6057,4090.7627,71.548004,7.774263400000001,RMM2018-10-10.0088.fcs,1
602.2292,786.5564,2074.8274,36.064713,5.470888599999999,RMM2018-10-10.0088.fcs,1
602.45447,1892.8038,3083.289,39.704665999999996,45.478046,RMM2018-10-10.0088.fcs,1
719.81335,1817.7352,4629.8857,2.0553944,-18.61494,RMM2018-10-10.0088.fcs,1
751.23224,2113.1707,2319.3064,22.589046,-6.781497,RMM2018-10-10.0088.fcs,1
841.71344,2890.7542,5865.9146,29.664447999999997,11.828116,RMM2018-10-10.0088.fcs,1
950.76495,943.6133,2746.3386,2.6463144,11.497223,RMM2018-10-10.0088.fcs,1
1098.5425,59.118763,2539.1956,41.513027,111.71712,RMM2018-10-10.0088.fcs,1
1142.3235,750.65155,2553.9932,37.04476,62.433069999999994,RMM2018-10-10.0088.fcs,1
1188.6093,137.76236,2408.1309,31.286432,58.087112,RMM2018-10-10.0088.fcs,1
1396.1971,2244.5747,3922.0625,18.83211,42.99749,RMM2018-10-10.0088.fcs,1
1410.1992,859.8255,4099.3022,31.806568,72.59648,RMM2018-10-10.0088.fcs,1
1794.4518,1042.3677,3451.4387,-12.955426,45.650653999999996,RMM2018-10-10.0088.fcs,1
3025.9768,2365.2598,5135.423,16.715519,-6.0710277999999995,RMM2018-10-10.0088.fcs,1
3384.1536,430.16677999999996,2701.0789,-29.135109999999997,-9.542375999999999,RMM2018-10-10.0088.fcs,1
3792.8423,434.3998,3779.8115,32.707096,16.95441,RMM2018-10-10.0088.fcs,1
3982.8237,1818.1252,2819.7112,11.555717999999999,8.492596,RMM2018-10-10.0088.fcs,1
4174.9863,2534.7117,2275.2148,14.298910999999999,69.84472,RMM2018-10-10.0088.fcs,1
4234.2554,1954.3059,2165.2202,72.95891999999999,64.43477,RMM2018-10-10.0088.fcs,1
4395.4854,394.45767,2297.103,17.741419,49.635146999999996,RMM2018-10-10.0088.fcs,1
4408.704000000001,541.58075,1937.6133,57.859680000000004,5.1013165,RMM2018-10-10.0088.fcs,1
4587.909000000001,1409.7045,4869.3037,1.8604726999999999,29.864483,RMM2018-10-10.0088.fcs,1
5135.0137,870.24146,6184.5947,11.990391,-13.401775,RMM2018-10-10.0088.fcs,1
6763.0,2696.81,2827.0645,42.299625,-5.50247,RMM2018-10-10.0088.fcs,1
7336.3423,1722.9625,4534.936,17.097342,27.918484000000003,RMM2018-10-10.0088.fcs,1
7712.116,1522.5228,2581.6965,19.037437,77.25126,RMM2018-10-10.0088.fcs,1
7968.585,2360.008,2876.4194,2.552572,20.679457,RMM2018-10-10.0088.fcs,1
8071.3022,59.51719,6450.72,14.624599,53.060112,RMM2018-10-10.0088.fcs,1
10446.809000000001,707.5988,2333.865,46.661777,72.4015,RMM2018-10-10.0088.fcs,1
10633.006000000001,1028.9257,2562.054,61.263633999999996,47.397083,RMM2018-10-10.0088.fcs,1
10928.472,389.3263,2777.2278,32.24154,74.52056999999999,RMM2018-10-10.0088.fcs,1
12780.445,815.1247599999999,2407.4373,45.283768,93.05713,RMM2018-10-10.0088.fcs,1
13042.752,915.2216,2792.423,14.35162,28.945871,RMM2018-10-10.0088.fcs,1
13156.462,2010.7041,4778.7686,33.081177000000004,-10.372126,RMM2018-10-10.0088.fcs,1
14301.073999999999,2265.1921,2805.5288,16.815191,-15.326625,RMM2018-10-10.0088.fcs,1
14507.59,176.19447,3055.6606,-11.540688000000001,23.862442,RMM2018-10-10.0088.fcs,1
14864.848,1796.2944,5748.4385,37.125957,41.33245,RMM2018-10-10.0088.fcs,1
15616.495,490.05987999999996,3537.1558,26.012743,58.985416,RMM2018-10-10.0088.fcs,1
17190.59,2327.6653,2319.4563,-11.581234,-50.557117,RMM2018-10-10.0088.fcs,1
17968.215,2507.2844,3096.408,50.034079999999996,-61.52681,RMM2018-10-10.0088.fcs,1
18295.701,2638.3467,5459.2227,5.048218,71.242165,RMM2018-10-10.0088.fcs,1
18967.86,2335.246,3206.1704,56.836406999999994,39.61807,RMM2018-10-10.0088.fcs,1
19207.957,1983.6466,2830.9907,-35.70798,21.681675,RMM2018-10-10.0088.fcs,1
19278.76,2807.5918,3529.8455,-1.1319963,98.49038,RMM2018-10-10.0088.fcs,1
20337.973,1754.6481,5451.831,11.800787,66.71371500000001,RMM2018-10-10.0088.fcs,1
20479.343999999997,2976.2507,6122.5234,8.855245,-13.942368,RMM2018-10-10.0088.fcs,1
20557.38,1098.0394,3329.5667,4.2459115999999995,-0.26367164,RMM2018-10-10.0088.fcs,1
21174.647999999997,106.64197,3460.6409999999996,19.268017,-33.8333,RMM2018-10-10.0088.fcs,1
21394.21,480.85537999999997,2156.1243,25.83621,9.588666,RMM2018-10-10.0088.fcs,1
21868.332000000002,1247.7728,6303.5737,-6.2569094000000005,1.7800081,RMM2018-10-10.0088.fcs,1
22866.275,385.92834,2241.9714,54.715805,117.55401599999999,RMM2018-10-10.0088.fcs,1
23456.512000000002,1382.2753,2244.7483,-1.6022475,43.487854,RMM2018-10-10.0088.fcs,1
23614.86,1083.0669,2405.8823,4.133466,80.45121999999999,RMM2018-10-10.0088.fcs,1
23634.23,2018.3749,2496.9421,54.28553,85.4687,RMM2018-10-10.0088.fcs,1
23898.438,206.05463999999998,3760.3047,-15.218889,-34.196709999999996,RMM2018-10-10.0088.fcs,1
24630.498,681.43164,3498.2236,18.740225,-15.230432999999998,RMM2018-10-10.0088.fcs,1
24785.916,809.7428,3734.8459999999995,30.513971,36.877052,RMM2018-10-10.0088.fcs,1
24968.48,96.40697,4111.504,35.837364,117.49273000000001,RMM2018-10-10.0088.fcs,1
25050.683999999997,556.9402,3482.1064,77.710205,16.979507,RMM2018-10-10.0088.fcs,1
26715.701,818.3058,2559.0073,7.7242546,-8.195400999999999,RMM2018-10-10.0088.fcs,1
26847.917999999998,1738.4529,2767.9640000000004,36.307774,17.543112,RMM2018-10-10.0088.fcs,1
27491.541,2438.2393,2047.8232,17.599795999999998,-20.58543,RMM2018-10-10.0088.fcs,1
28292.933999999997,1593.3927,3221.5029999999997,33.3736,32.633514,RMM2018-10-10.0088.fcs,1
29644.455,851.28937,6128.8213,49.072998,6.188311,RMM2018-10-10.0088.fcs,1
30875.639,137.71687,2071.3384,-18.570162,75.81779,RMM2018-10-10.0088.fcs,1
31423.97,2305.0786,2378.842,-9.768415,3.3536124,RMM2018-10-10.0088.fcs,1
31470.281000000003,1483.4451,3333.6582,8.573977000000001,12.638736999999999,RMM2018-10-10.0088.fcs,1
31589.236,1749.2794,1969.1713,22.072951999999997,93.46983,RMM2018-10-10.0088.fcs,1
31962.8,420.09997999999996,2443.7488,44.20062,57.17971,RMM2018-10-10.0088.fcs,1
32262.775,647.3849,2381.8442,50.73084,3.7710931000000003,RMM2018-10-10.0088.fcs,1
32676.56,643.6006,2790.784,30.714483,26.812973,RMM2018-10-10.0088.fcs,1
32962.727,1551.2562,2726.2009999999996,0.13880229,12.299623500000001,RMM2018-10-10.0088.fcs,1
34126.082,1518.9656,2809.1079999999997,-3.1852658,27.781267,RMM2018-10-10.0088.fcs,1
34309.367,1263.5203,2754.0935,65.907135,54.19996,RMM2018-10-10.0088.fcs,1
34312.99,2266.0860000000002,1923.2661,76.03228,14.127386999999999,RMM2018-10-10.0088.fcs,1
34464.633,2757.7756,3154.0315,30.039892,140.27666000000002,RMM2018-10-10.0088.fcs,1
34505.54,1196.2568,2802.0715,45.917877000000004,123.29082,RMM2018-10-10.0088.fcs,1
34607.07,141.4441,2840.6697,25.138942999999998,49.847702000000005,RMM2018-10-10.0088.fcs,1
34766.91,956.1702,3215.054,25.087349,36.06194,RMM2018-10-10.0088.fcs,1
34898.656,135.42558,3226.5244,44.113396,79.1192,RMM2018-10-10.0088.fcs,1
34926.594,1208.7474,1959.476,52.808315,65.68552,RMM2018-10-10.0088.fcs,1
34961.137,2572.3054,4621.8745,57.683453,40.804559999999995,RMM2018-10-10.0088.fcs,1
36032.223,491.6888,2159.9846,18.503464,17.303785,RMM2018-10-10.0088.fcs,1
36471.098,1138.4795,1954.7998,1.334733,-19.452951000000002,RMM2018-10-10.0088.fcs,1
36773.32,1085.8158,3062.8132,59.00386999999999,38.921223,RMM2018-10-10.0088.fcs,1
37507.56,1667.9545,2436.8843,27.259563,64.44021,RMM2018-10-10.0088.fcs,1
37572.773,180.91153,2483.7332,54.310505000000006,-18.6356,RMM2018-10-10.0088.fcs,1
38041.535,2249.8638,2621.0527,44.896843,117.69704399999999,RMM2018-10-10.0088.fcs,1
38139.83,1620.5696,2425.6929,86.098366,80.388626,RMM2018-10-10.0088.fcs,1
38509.656,680.85065,5863.670999999999,17.521643,3.5228957999999997,RMM2018-10-10.0088.fcs,1
38519.937999999995,2433.5571,6062.0835,49.002132,99.99414,RMM2018-10-10.0088.fcs,1
39155.645,868.93,2659.3325,35.87435,25.770275,RMM2018-10-10.0088.fcs,1
40905.426,1718.8047,1986.5219,24.584831,-24.310997,RMM2018-10-10.0088.fcs,1
40992.773,1332.2787,2107.532,-6.0320163,25.952720000000003,RMM2018-10-10.0088.fcs,1
41392.883,1100.5082,4519.284000000001,15.713989000000002,42.73382,RMM2018-10-10.0088.fcs,1
41662.0,614.1793,2168.2136,-41.44573,26.497172999999997,RMM2018-10-10.0088.fcs,1
41775.98,2591.3242,2483.3335,24.088993,-30.968573,RMM2018-10-10.0088.fcs,1
41907.72,1457.058,2676.447,-9.268671000000001,0.5802356,RMM2018-10-10.0088.fcs,1
42042.973,438.2604,2002.1519,-16.767895000000003,50.28483,RMM2018-10-10.0088.fcs,1
43337.25,49.981834,3621.6859999999997,23.108864,30.587349,RMM2018-10-10.0088.fcs,1
43488.477,2621.9429,5063.0337,12.042266999999999,-28.44422,RMM2018-10-10.0088.fcs,1
43638.383,598.185,2492.3235,20.359455,36.860904999999995,RMM2018-10-10.0088.fcs,1
43705.184,2189.2334,3053.8533,4.202958,58.569798,RMM2018-10-10.0088.fcs,1
44231.184,615.57794,6587.366999999999,-21.396042,1.8967652,RMM2018-10-10.0088.fcs,1
44652.19,777.8791,4144.005,-6.873077,-11.157567,RMM2018-10-10.0088.fcs,1
45489.04,714.4761,2498.7725,6.5838766,-16.021713000000002,RMM2018-10-10.0088.fcs,1
45598.9,745.5448,3342.563,-25.197947,33.361908,RMM2018-10-10.0088.fcs,1
45991.98,1540.8154,3514.2356,37.42843,65.71774,RMM2018-10-10.0088.fcs,1
46021.527,1213.3652,3365.9028,21.338488,60.81665,RMM2018-10-10.0088.fcs,1
46494.655999999995,1847.5487,2102.4744,-20.031052,55.75679,RMM2018-10-10.0088.fcs,1
46677.402,923.54944,2074.1377,10.576645,45.854459999999996,RMM2018-10-10.0088.fcs,1
46734.168,2635.4812,2052.154,-0.18553114,91.54921999999999,RMM2018-10-10.0088.fcs,1
47195.137,2657.3882,2396.0389999999998,54.57501,-12.232166000000001,RMM2018-10-10.0088.fcs,1
48144.51,332.7791,3024.9307,-2.153477,4.4160986,RMM2018-10-10.0088.fcs,1
49152.023,201.04828,3822.8132,29.401498999999998,57.113068000000005,RMM2018-10-10.0088.fcs,1
49547.81,2327.6284,2476.2817,14.086592999999999,-46.151726000000004,RMM2018-10-10.0088.fcs,1
49587.13,873.0856,2622.9666,23.391012,59.770943,RMM2018-10-10.0088.fcs,1
49760.883,2155.366,2914.3777,15.703842000000002,81.82149,RMM2018-10-10.0088.fcs,1
50740.555,2026.7220000000002,2321.1313,68.06375,2.182398,RMM2018-10-10.0088.fcs,1
50867.066,303.4982,2646.0781,24.335333,-5.535410400000001,RMM2018-10-10.0088.fcs,1
51383.273,2199.8867,5063.476,-8.020764,36.224185999999996,RMM2018-10-10.0088.fcs,1
51480.55,2745.2832,2804.9368,11.213786,-33.62037,RMM2018-10-10.0088.fcs,1
52148.203,1291.8022,2300.7874,25.858767999999998,5.4493545999999995,RMM2018-10-10.0088.fcs,1
52453.95,214.5865,4834.278,32.984028,-22.782553,RMM2018-10-10.0088.fcs,1
52742.125,2710.5244,2664.7283,-20.176851,25.420599,RMM2018-10-10.0088.fcs,1
52874.42,511.6383,5476.6655,-22.953701000000002,69.613,RMM2018-10-10.0088.fcs,1
53237.312000000005,2169.8467,2006.7052,46.332943,68.11981,RMM2018-10-10.0088.fcs,1
53880.285,157.53893,2987.7537,-33.724464000000005,58.692783,RMM2018-10-10.0088.fcs,1
55223.45,1312.9833,2343.541,8.200327,166.21057,RMM2018-10-10.0088.fcs,1
55621.98,965.0827,2602.7903,57.350609999999996,1.3076735000000002,RMM2018-10-10.0088.fcs,1
55741.168,206.66846999999999,2840.5774,5.4987297,123.21203600000001,RMM2018-10-10.0088.fcs,1
56059.953,1316.8210000000001,6561.828,49.51285,14.320205999999999,RMM2018-10-10.0088.fcs,1
56566.043,1205.5847,5077.629,53.937540000000006,-15.271010999999998,RMM2018-10-10.0088.fcs,1
56606.88,1291.9289999999999,2061.495,-4.4161150000000005,41.948032,RMM2018-10-10.0088.fcs,1
56749.758,1221.4812,2040.2296,56.031387,-0.40103817,RMM2018-10-10.0088.fcs,1
57397.832,1411.848,2662.8354,-8.854795,63.403564,RMM2018-10-10.0088.fcs,1
57456.05,96.93519599999999,2556.5723,43.428670000000004,29.9665,RMM2018-10-10.0088.fcs,1
57679.28,1882.4608,2627.6016,3.881343,60.56785,RMM2018-10-10.0088.fcs,1
58559.234000000004,1751.2941,2217.8909,-36.675095,93.69756,RMM2018-10-10.0088.fcs,1
58879.25,1704.969,2528.91,78.73881,61.71234499999999,RMM2018-10-10.0088.fcs,1
59203.074,817.02124,1992.8961,-15.913932,32.34472,RMM2018-10-10.0088.fcs,1
59385.09,1664.8793,2465.0825,9.178858,-45.708267,RMM2018-10-10.0088.fcs,1
59497.76,981.7021,3603.079,5.894929,1.033379,RMM2018-10-10.0088.fcs,1
59531.754,1744.8398,3010.1567,-35.147045,68.31329000000001,RMM2018-10-10.0088.fcs,1
59680.14,1826.4368,1925.5509,-15.965564,61.028538,RMM2018-10-10.0088.fcs,1
60070.16,422.98346,2118.6738,33.479935,71.05381,RMM2018-10-10.0088.fcs,1
60957.008,1902.5676,2081.6484,8.830757,22.763170000000002,RMM2018-10-10.0088.fcs,1
61126.785,326.01578,2975.7407,-8.224907,-16.584723999999998,RMM2018-10-10.0088.fcs,1
61280.62,1609.2533,4866.242,-5.412628,-28.587759000000002,RMM2018-10-10.0088.fcs,1
61522.585999999996,608.9302,2194.2744,14.664885,-9.797433,RMM2018-10-10.0088.fcs,1
61783.23,1325.6465,2614.3242,-19.047601999999998,91.442566,RMM2018-10-10.0088.fcs,1
61943.585999999996,1795.2004,4621.8345,28.164707,92.06013,RMM2018-10-10.0088.fcs,1
62093.085999999996,543.9021,2144.5796,-23.554827,-10.8387985,RMM2018-10-10.0088.fcs,1
62180.61,781.81714,6305.4756,7.9129076000000005,29.657690000000002,RMM2018-10-10.0088.fcs,1
62340.734000000004,416.1749,2345.8665,-17.309492000000002,5.4100513,RMM2018-10-10.0088.fcs,1
64002.44,488.32657,4181.498,-26.267167999999998,52.7416,RMM2018-10-10.0088.fcs,1
64107.27,348.5949,2106.8325,19.785679000000002,35.981753999999995,RMM2018-10-10.0088.fcs,1
64218.312000000005,275.81512000000004,2198.6455,-0.7036946,47.138874,RMM2018-10-10.0088.fcs,1
65061.887,2423.903,4448.663,12.247829,-9.964459,RMM2018-10-10.0088.fcs,1
65097.082,832.8056,5417.1235,-14.412369,174.94165,RMM2018-10-10.0088.fcs,1
65662.46,604.325,2910.9604,42.58594,32.995583,RMM2018-10-10.0088.fcs,1
65994.54,1428.6522,3653.3027,2.3875232000000004,46.944946,RMM2018-10-10.0088.fcs,1
66963.87,1704.8271,6274.8794,-12.04526,43.995277,RMM2018-10-10.0088.fcs,1
67048.9,897.2353,1910.0892,-12.737192,35.82125,RMM2018-10-10.0088.fcs,1
68708.55,730.4526400000001,6190.005999999999,11.429799000000001,27.991274,RMM2018-10-10.0088.fcs,1
69308.234,2912.2126,3287.1345,8.234812,45.448570000000004,RMM2018-10-10.0088.fcs,1
69403.38,82.98494000000001,2572.6501,38.542415999999996,53.343864,RMM2018-10-10.0088.fcs,1
69529.56,2667.8559999999998,4329.7295,22.992017999999998,57.665367,RMM2018-10-10.0088.fcs,1
70221.48,622.0493,3395.1987,39.55401,34.84706,RMM2018-10-10.0088.fcs,1
70798.31,1941.5497,2914.605,86.20602,61.16629399999999,RMM2018-10-10.0088.fcs,1
