HDR-T,FSC-A,SSC-A,mKate/APC-A,GFP/FITC-A,file
46.415062,317.18414,1614.313,-13.104645,48.695744,RMM2018-10-10.0040.fcs
126.20484,-428.12158,2405.7905,47.34571,91.62839,RMM2018-10-10.0040.fcs
143.90625,14.555315,6751.726,8.808876,33.250877,RMM2018-10-10.0040.fcs
156.79536,-1372.5251,1120.5355,9.7745285,35.40872,RMM2018-10-10.0040.fcs
238.69331,436.93613,1715.1838,5.7136326,-13.624232,RMM2018-10-10.0040.fcs
260.30862,2639.9712,1509.92,-43.39905,1.7008804,RMM2018-10-10.0040.fcs
296.3074,-1866.5233,2344.528,23.386978,-17.564705,RMM2018-10-10.0040.fcs
310.50412,-1064.8839,3629.7764,-14.724012,177.57036,RMM2018-10-10.0040.fcs
323.90024,-2276.2095,2063.9602,58.429543,131.46263,RMM2018-10-10.0040.fcs
411.62454,-1356.4382,1027.2244,9.827789,50.448475,RMM2018-10-10.0040.fcs
495.26593,-3286.1777,2395.5066,15.341806,84.833435,RMM2018-10-10.0040.fcs
511.97107,762.4215,1012.71094,-8.35937,152.41422,RMM2018-10-10.0040.fcs
514.951,-886.5422,5298.9272,-35.425926,-7.370544,RMM2018-10-10.0040.fcs
569.42505,-1192.682,1650.2648,37.581577,36.32202,RMM2018-10-10.0040.fcs
597.943,2289.426,4977.856,-0.92344475,20.695086,RMM2018-10-10.0040.fcs
662.32635,2408.5437,9022.674,-0.4773004,-39.215897,RMM2018-10-10.0040.fcs
799.52563,4520.255,1287.5709,-19.06127,27.757679,RMM2018-10-10.0040.fcs
807.4868,-563.4938,3810.8481,-40.646725,4.137511,RMM2018-10-10.0040.fcs
831.25476,430.8028,3701.1294,15.018126,70.629616,RMM2018-10-10.0040.fcs
984.26965,2024.0125,1211.4785,-31.086876,-10.9915695,RMM2018-10-10.0040.fcs
1109.2203,257.76978,8590.555,9.653904,-23.215641,RMM2018-10-10.0040.fcs
1176.37,-541.517,10381.967,-7.9328265,47.44054,RMM2018-10-10.0040.fcs
1208.9442,-587.5012,2348.161,-36.179947,2.8021612,RMM2018-10-10.0040.fcs
1317.7589,462.80658,65456.71,34.738235,62.03342,RMM2018-10-10.0040.fcs
1353.3663,1554.5762,1522.2103,23.92616,-12.835695,RMM2018-10-10.0040.fcs
1365.9976,33.413105,1198.7272,-15.695046,-16.651814,RMM2018-10-10.0040.fcs
1423.7806,2044.5997,1971.2008,-2.8195453,1.7854806,RMM2018-10-10.0040.fcs
1546.463,405.6817,1615.3416,54.86128,-19.326773,RMM2018-10-10.0040.fcs
1585.7886,732.2034,1978.6559,-16.775146,-13.224494,RMM2018-10-10.0040.fcs
1701.6483,-352.69528,57193.47,61.791626,-56.71408,RMM2018-10-10.0040.fcs
1765.8715,-1480.4868,924.6271,27.156519,30.842598,RMM2018-10-10.0040.fcs
1886.4102,1673.1587,3105.8303,39.74051,2.1986203,RMM2018-10-10.0040.fcs
1894.9673,-1040.6569,1807.8827,30.148094,55.020985,RMM2018-10-10.0040.fcs
1914.6613,1696.3641,1256.5416,23.116861,-0.7296753,RMM2018-10-10.0040.fcs
1920.0161,-1191.7155,1225.7988,-16.4383,-40.96212,RMM2018-10-10.0040.fcs
2121.3674,-1227.7806,5396.1714,6.478339,1.4377668,RMM2018-10-10.0040.fcs
2290.5183,1757.9933,14909.503,28.247368,118.35418,RMM2018-10-10.0040.fcs
2298.3638,-271.97992,2494.4595,41.309837,48.288,RMM2018-10-10.0040.fcs
2326.0544,644.79297,1619.0233,25.6502,16.800116,RMM2018-10-10.0040.fcs
2407.3477,-1750.6848,1062.4425,22.29415,-18.171976,RMM2018-10-10.0040.fcs
2432.1475,-1209.9408,1024.7947,64.37256,44.021626,RMM2018-10-10.0040.fcs
2434.8691,-629.886,2569.6472,14.698641,-5.7951856,RMM2018-10-10.0040.fcs
2443.5154,251.68816,1709.7526,57.45461,75.00061,RMM2018-10-10.0040.fcs
2544.965,-281.21332,2937.4404,31.930485,62.051723,RMM2018-10-10.0040.fcs
2552.1968,2569.9114,3192.0146,42.080776,-31.387867,RMM2018-10-10.0040.fcs
2559.3127,190.40599,6690.898,48.574642,52.02502,RMM2018-10-10.0040.fcs
2567.1584,19818.232,262143.97,60.704414,34.748455,RMM2018-10-10.0040.fcs
2624.9592,3791.529,12892.681,46.248497,103.374176,RMM2018-10-10.0040.fcs
2645.2312,1136.3347,2053.472,62.910805,54.209522,RMM2018-10-10.0040.fcs
2646.3167,715.4022,2373.265,68.81498,-30.827896,RMM2018-10-10.0040.fcs
2731.8525,-1935.8417,2484.624,6.4721456,99.15346,RMM2018-10-10.0040.fcs
2765.5298,5076.894,8867.22,63.38945,43.746784,RMM2018-10-10.0040.fcs
2765.6187,5588.0396,8876.286,38.23826,111.426674,RMM2018-10-10.0040.fcs
2851.9287,3418.3005,2472.023,41.478386,41.519905,RMM2018-10-10.0040.fcs
2888.5234,1354.5663,1772.6868,81.432816,5.7100143,RMM2018-10-10.0040.fcs
2942.1704,-511.29788,2167.9834,19.185793,-11.546837,RMM2018-10-10.0040.fcs
2984.556,7.9577827,3524.7837,12.484671,-47.49404,RMM2018-10-10.0040.fcs
3069.407,-989.22577,5154.7974,-5.3108764,-24.303562,RMM2018-10-10.0040.fcs
3084.5288,1736.3596,801.26196,-19.434278,62.348457,RMM2018-10-10.0040.fcs
3145.6387,2542.7627,10083.149,33.60353,-9.590839,RMM2018-10-10.0040.fcs
3166.6047,-1091.6768,6573.722,46.789444,24.335257,RMM2018-10-10.0040.fcs
3175.491,-61.868557,1242.3348,58.796715,-61.428032,RMM2018-10-10.0040.fcs
3218.2146,-93.96467,3379.4326,15.434333,48.874996,RMM2018-10-10.0040.fcs
3231.5662,5495.1685,1512.8511,-31.872717,7.3756886,RMM2018-10-10.0040.fcs
3301.5356,5767.9395,48965.992,1.1494966,37.93846,RMM2018-10-10.0040.fcs
3304.4268,342.25024,1637.7029,18.324764,32.32307,RMM2018-10-10.0040.fcs
3323.7559,592.1338,2539.21,24.096344,32.59279,RMM2018-10-10.0040.fcs
3339.4736,-462.21954,1214.5713,40.101383,9.087018,RMM2018-10-10.0040.fcs
3353.0032,-778.90765,4372.359,-24.511509,38.226074,RMM2018-10-10.0040.fcs
3451.3306,-2086.678,2757.9602,11.110632,0.13080525,RMM2018-10-10.0040.fcs
3459.9678,2683.2751,1820.1323,-1.2198176,-54.139275,RMM2018-10-10.0040.fcs
3538.2363,3079.0078,2313.224,14.635661,-0.25233912,RMM2018-10-10.0040.fcs
3546.4377,-585.5202,1323.924,22.176996,41.967026,RMM2018-10-10.0040.fcs
3577.5798,-3206.2058,1751.401,25.722118,40.850468,RMM2018-10-10.0040.fcs
3598.2788,727.2798,2136.2686,16.69625,-15.091503,RMM2018-10-10.0040.fcs
3609.1133,-505.5614,1471.9662,16.81205,66.65491,RMM2018-10-10.0040.fcs
3773.461,-794.5513,1422.6793,1.9627309,-33.733902,RMM2018-10-10.0040.fcs
3795.2896,774.1633,2023.7593,16.37027,34.231518,RMM2018-10-10.0040.fcs
3803.9177,1371.8479,1015.5259,-15.44928,165.82314,RMM2018-10-10.0040.fcs
3876.4846,526.6415,1592.0548,35.740395,1.0567614,RMM2018-10-10.0040.fcs
